dataset,elec,z,t,p,q,elec_idx
Angelique,Fp1,-0.34996,-1.6354350790575907,0.11276742356210835,0.8133792275530781,0
Angelique,AF7,-0.02984666666666671,-0.1525831722340634,0.8797836745732042,0.9021638350993929,1
Angelique,AF3,-0.2740366666666666,-1.4140698172718396,0.16798793175237514,0.8133792275530781,2
Angelique,F1,-0.19184333333333334,-1.0522484760568236,0.3013748221024682,0.8133792275530781,3
Angelique,F3,-0.2630799999999999,-1.3019255869987076,0.20318868682229901,0.8133792275530781,4
Angelique,F5,-0.20839000000000002,-0.9818446921949794,0.33429719285042686,0.8133792275530781,5
Angelique,F7,-0.2677033333333333,-1.4167854717880222,0.16719926376164346,0.8133792275530781,6
Angelique,FT7,-0.16663666666666668,-1.0298396120432955,0.3115984161872755,0.8133792275530781,7
Angelique,FC5,-0.05517999999999999,-0.3363200778421163,0.7390510253994176,0.9011104046140117,8
Angelique,FC3,-0.05155333333333333,-0.284691973459427,0.777903310439214,0.9011104046140117,9
Angelique,FC1,-0.24707333333333337,-1.3842566796905165,0.17684049545595357,0.8133792275530781,10
Angelique,C1,-0.16122333333333336,-0.8953727938103249,0.3779598535863535,0.821568584519426,11
Angelique,C3,0.3158066666666666,1.8738572572124226,0.07105844574459455,0.8133792275530781,12
Angelique,C5,0.06909999999999995,0.40214927538513817,0.6905229455594161,0.9011104046140117,13
Angelique,T7,0.17727333333333337,0.8387065285841206,0.4084943512805741,0.8305122146345424,14
Angelique,TP7,0.07738333333333335,0.4780353099777353,0.6362089885027921,0.9011104046140117,15
Angelique,CP5,0.11155999999999996,0.6822624797660877,0.5004866408515756,0.8890994320866217,16
Angelique,CP3,0.26841000000000004,1.8181462350784945,0.07938572717644168,0.8133792275530781,17
Angelique,CP1,-0.024340000000000007,-0.15257259756193758,0.8797919394500385,0.9021638350993929,18
Angelique,P1,-0.10704,-0.5106833538108495,0.6134385831311551,0.9011104046140117,19
Angelique,P3,-0.038006666666666654,-0.195580402308517,0.8463025485924967,0.9021638350993929,20
Angelique,P5,0.0886233333333333,0.5226406790942927,0.6051945573602583,0.9011104046140117,21
Angelique,P7,-0.0021400000000000086,-0.011808336714010383,0.9906593914409666,0.9906593914409666,22
Angelique,P9,0.09384333333333332,0.5083887259560949,0.6150265713188907,0.9011104046140117,23
Angelique,PO7,0.1254266666666667,0.6468551761277245,0.5228130080760732,0.8890994320866217,24
Angelique,PO3,-0.05141000000000002,-0.27949889644501896,0.7818457922386278,0.9011104046140117,25
Angelique,O1,-0.060680000000000026,-0.3072913799508382,0.7608175444660612,0.9011104046140117,26
Angelique,Iz,0.03166999999999999,0.1641875752966629,0.8707225000067592,0.9021638350993929,27
Angelique,Oz,-0.14678666666666668,-0.7353357831758999,0.4680407264750484,0.8840769277862025,28
Angelique,POz,-0.2565933333333333,-1.372302170254258,0.18049136872549804,0.8133792275530781,29
Angelique,Pz,-0.04278333333333335,-0.24137311616636048,0.8109644929117212,0.9021638350993929,30
Angelique,CPz,0.05973666666666666,0.2954417580401642,0.7697614897929732,0.9011104046140117,31
Angelique,Fpz,-0.36023666666666665,-1.932147690227858,0.0631631970667003,0.8133792275530781,32
Angelique,Fp2,-0.4099000000000001,-2.064908283264035,0.04797447224826628,0.8133792275530781,33
Angelique,AF8,0.10100333333333333,0.5141959256263573,0.6110114170763057,0.9011104046140117,34
Angelique,AF4,-0.18069,-1.0057577766040997,0.32285080425460655,0.8133792275530781,35
Angelique,AFz,-0.15424000000000004,-0.9566812329980421,0.34663606522955454,0.8133792275530781,36
Angelique,Fz,-0.14770999999999995,-0.8048259152743241,0.42746952223836737,0.8305122146345424,37
Angelique,F2,-0.2279733333333334,-1.1847506776869692,0.2457348830821805,0.8133792275530781,38
Angelique,F4,-0.19857000000000008,-0.966347217059926,0.3418606924683328,0.8133792275530781,39
Angelique,F6,-0.038623333333333336,-0.22592861447808749,0.8228417096933822,0.9021638350993929,40
Angelique,F8,-0.32777666666666666,-1.9237935773258166,0.06424576222401747,0.8133792275530781,41
Angelique,FT8,-0.05617999999999997,-0.30289466201114956,0.7641322826010541,0.9011104046140117,42
Angelique,FC6,-0.09662666666666668,-0.6029871166199676,0.5512042485251027,0.9011104046140117,43
Angelique,FC4,-0.3046733333333333,-1.770466579419318,0.08716242105503828,0.8133792275530781,44
Angelique,FC2,-0.053206666666666645,-0.2938952009607418,0.7709312234470328,0.9011104046140117,45
Angelique,FCz,-0.18918333333333331,-1.0328400849689598,0.3102157147615504,0.8133792275530781,46
Angelique,Cz,-0.07462000000000008,-0.3623237288530439,0.719737278558794,0.9011104046140117,47
Angelique,C2,-0.18045,-0.9094514106108883,0.37060884841431646,0.821568584519426,48
Angelique,C4,0.07861666666666665,0.4278281379912764,0.6719367090642139,0.9011104046140117,49
Angelique,C6,0.1216,0.6465626746603436,0.5229996659333068,0.8890994320866217,50
Angelique,T8,0.16249666666666665,0.9717969534710398,0.33918792556163346,0.8133792275530781,51
Angelique,TP8,0.3176833333333333,1.6241837350970565,0.11515785889971486,0.8133792275530781,52
Angelique,CP6,0.16690666666666665,1.0476451601984273,0.3034555887889883,0.8133792275530781,53
Angelique,CP4,0.16059333333333334,0.9561852149812594,0.34688231763293037,0.8133792275530781,54
Angelique,CP2,-0.19133000000000003,-1.0547193877830578,0.30026206622211615,0.8133792275530781,55
Angelique,P2,-0.10316,-0.667392042389049,0.5097980727439119,0.8890994320866217,56
Angelique,P4,0.21935333333333332,1.1456039262947952,0.26132519098102736,0.8133792275530781,57
Angelique,P6,0.2817033333333333,1.4532122304737884,0.1569012169945124,0.8133792275530781,58
Angelique,P8,0.4560333333333333,2.4557566366159906,0.02028938069020028,0.8133792275530781,59
Angelique,P10,0.18422666666666668,0.8790117766800002,0.38662051036208284,0.821568584519426,60
Angelique,PO8,0.23959333333333338,1.1865968204531983,0.2450169550973237,0.8133792275530781,61
Angelique,PO4,0.028396666666666678,0.14093371941083205,0.8888967198773431,0.9021638350993929,62
