subject,dataset,modality,n_seq,feature,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label
S05,Talia,Dig,24,SNR_all,0.5417,-0.0379,0.6162,1.0,0.5,0.2552,0.5,-0.0441,0.622,1.0,0.625,0.2708,0.4547,-0.0263
S06,Talia,Dig,24,SNR_all,0.5833,-0.0151,0.6214,0.8269,0.625,0.2708,0.5,-0.0455,0.6094,1.0,0.5,0.25,0.3917,-0.0258
S07,Talia,Dig,24,SNR_all,0.7083,0.1363,0.641,0.4904,0.875,0.2552,0.7083,0.1385,0.6194,0.3787,0.625,0.2969,0.4014,0.0643
S08,Talia,Dig,24,SNR_all,0.5417,-0.0353,0.5822,1.0,0.25,0.2969,0.5417,-0.0353,0.5825,1.0,0.25,0.2969,0.3659,-0.0547
S09,Talia,Dig,24,SNR_all,0.5,-0.0441,0.6216,1.0,0.625,0.2708,0.5,-0.0441,0.6216,1.0,0.625,0.2708,0.4914,0.0173
S10,Talia,Dig,23,SNR_all,0.6087,0.0021,0.6405,0.7433,0.75,0.2826,0.6087,0.0021,0.6405,0.7433,0.75,0.2826,0.5481,0.0244
S11,Talia,Dig,24,SNR_all,0.5833,-0.0151,0.598,0.7723,0.375,0.2708,0.5833,-0.0151,0.598,0.7723,0.375,0.2708,0.4141,-0.0322
S12,Talia,Dig,24,SNR_all,0.5417,-0.0379,0.5743,1.0,0.125,0.2552,0.5,-0.0455,0.5991,1.0,0.375,0.25,0.327,-0.0357
S13,Talia,Dig,24,SNR_all,0.5417,-0.0379,0.6403,1.0,0.875,0.2552,0.5,-0.0441,0.5825,1.0,0.25,0.2708,0.3598,-0.029
S14,Talia,Dig,24,SNR_all,0.625,0.0202,0.64,0.7433,0.75,0.2552,0.5833,-0.0164,0.6295,0.7433,0.75,0.25,0.3931,0.0174
S15,Talia,Dig,24,SNR_all,0.5833,-0.0151,0.607,1.0,0.375,0.2708,0.5833,-0.0151,0.607,1.0,0.375,0.2708,0.364,-0.0369
S02,Angelique,Mixed,24,diffERP_all,0.5417,-0.0353,0.6021,1.0,0.75,0.5312,0.5417,-0.0379,0.606,1.0,0.75,0.5035,0.3903,0.0126
S03,Angelique,Mixed,24,diffERP_all,0.8333,0.4192,0.5964,0.0145,0.6667,0.5,0.7917,0.3105,0.5953,0.0238,0.5833,0.5035,0.4758,0.2643
S04,Angelique,Mixed,24,diffERP_all,0.5833,-0.005,0.5751,0.69,0.6667,0.625,0.5,-0.0441,0.5782,1.0,0.5,0.5139,0.3894,-0.0196
S05,Angelique,Mixed,24,diffERP_all,0.5417,-0.0379,0.594,1.0,0.5833,0.5035,0.5417,-0.0379,0.594,1.0,0.5833,0.5035,0.3941,0.0138
S07,Angelique,Mixed,24,diffERP_all,0.75,0.2247,0.6138,0.183,1.0,0.625,0.75,0.2247,0.6138,0.183,1.0,0.625,0.6529,0.201
S08,Angelique,Mixed,24,diffERP_all,0.5417,-0.0379,0.5932,1.0,0.5833,0.5035,0.875,0.5428,0.607,0.0071,0.75,0.5035,0.3763,0.179
S09,Angelique,Mixed,24,diffERP_all,0.5,-0.0337,0.5881,1.0,0.8333,0.625,0.5,-0.0455,0.5955,1.0,0.6667,0.5,0.3285,0.0021
S10,Angelique,Mixed,24,diffERP_all,0.625,0.0202,0.6174,0.5655,0.9167,0.5035,0.625,0.0202,0.6174,0.5655,0.9167,0.5035,0.3511,-0.0318
S11,Angelique,Mixed,24,diffERP_all,0.625,0.0202,0.5947,0.4741,0.5833,0.5035,0.5833,-0.0164,0.5946,0.7329,0.6667,0.5,0.3923,0.0293
S13,Angelique,Mixed,24,diffERP_all,0.875,0.5428,0.6179,0.0152,0.9167,0.5035,0.8333,0.4199,0.6068,0.0296,0.8333,0.5139,0.3782,0.202
S15,Angelique,Mixed,24,diffERP_all,0.7917,0.3157,0.6077,0.0637,0.9167,0.5868,0.7083,0.1363,0.5948,0.1416,0.5833,0.5035,0.5174,0.211
S16,Angelique,Mixed,22,diffERP_all,0.5455,-0.0439,0.5943,1.0,0.5455,0.5661,0.5455,-0.0439,0.5943,1.0,0.5455,0.5661,0.5773,-0.0256
