dataset,contrast,n,mean,lo,hi,t,p,pos
D1,"standard ROI BCA, asymmetry",30,0.5004837208650029,0.18542432818695836,0.8155431135430475,3.248924377772742,0.0029276334914798124,21
D1,"standard ROI BCA, symmetry",30,0.4088240582505353,0.046072874196483815,0.7715752423045867,2.3049933924582136,0.02851890860202542,18
D1,"standard, asymmetry - symmetry",30,0.09165966261446755,-0.4168198161692114,0.6001391413981465,0.3686777279889885,0.7150458713964994,18
D1,TDCA - standard ROI BCA,30,0.3810077508299505,-0.004458756270281583,0.7664742579301825,2.0215721250124066,0.052534626971665215,21
D1,ROI template - standard ROI BCA,30,0.43906564911633567,-0.021596527733463766,0.8997278259661351,1.9493462357943039,0.06098437817539181,20
D2,"standard ROI BCA, asymmetry",15,0.69209701688241,0.1315206633281606,1.2526733704366593,2.6479898039676493,0.019103956313291898,12
D2,"standard ROI BCA, symmetry",15,-0.1599268246720324,-0.6921050619940219,0.37225141264995704,-0.6445376765566709,0.5296468397378516,5
D2,"standard, asymmetry - symmetry",15,0.8520238415544427,0.15634840335300326,1.5476992797558822,2.6268131556851273,0.0199097809192711,12
D2,TDCA - standard ROI BCA,15,1.0445963887001013,0.4211296090637505,1.668063168336452,3.5935137234381074,0.0029360287431776685,13
D2,ROI template - standard ROI BCA,15,0.4879730214999867,-0.18124541034130087,1.1571914533412744,1.56391096057619,0.14015558573678502,9
