dataset,elec,z,t,p,q,elec_idx
Angelique,Fp1,0.14798666666666668,0.8097139621610877,0.42469900106836544,0.9050812279092039,0
Angelique,AF7,0.17220333333333337,1.0291427970731086,0.31192013890297604,0.8693969051238036,1
Angelique,AF3,-0.09179000000000001,-0.4620574302228857,0.6474879436082256,0.9364324516358267,2
Angelique,F1,0.12154333333333336,0.567590862449635,0.5746810489207655,0.9323200398928059,3
Angelique,F3,0.10639666666666665,0.5689979290780259,0.5737383680340219,0.9323200398928059,4
Angelique,F5,-0.09070333333333334,-0.5112311277006717,0.613059780048619,0.9323200398928059,5
Angelique,F7,-0.0718433333333334,-0.4174401713896739,0.6794308981087201,0.9364324516358267,6
Angelique,FT7,0.2552966666666666,1.241252587243574,0.2244593410501014,0.6937834177912225,7
Angelique,FC5,0.09176333333333334,0.4941840071153576,0.62489895141787,0.9323200398928059,8
Angelique,FC3,0.09709666666666668,0.48590334561708654,0.6306870858098392,0.9323200398928059,9
Angelique,FC1,-0.044720000000000024,-0.22445414230325847,0.8239779020701495,0.9440273473349878,10
Angelique,C1,0.050236666666666686,0.2437835676574021,0.8091148406467352,0.9440273473349878,11
Angelique,C3,0.3788033333333332,2.085722307798178,0.04591134836004759,0.2838156080439305,12
Angelique,C5,0.4084433333333334,2.1377372092310356,0.04109558442407921,0.2838156080439305,13
Angelique,T7,0.14733999999999997,0.7702185869255792,0.44739963693026047,0.9050812279092039,14
Angelique,TP7,0.15345333333333333,0.7784627909269098,0.4426020070494656,0.9050812279092039,15
Angelique,CP5,0.38996666666666685,2.122083369763852,0.04249527302838515,0.2838156080439305,16
Angelique,CP3,0.5639833333333335,3.441342593026195,0.0017778884412737368,0.08497183590064485,17
Angelique,CP1,0.17957333333333333,0.9596405054937895,0.34516934356132306,0.891836391927562,18
Angelique,P1,-0.02483666666666665,-0.1305502565667678,0.8970325024828246,0.9544582985293488,19
Angelique,P3,0.22674333333333332,1.303054690944851,0.2028079963420186,0.6567116072027269,20
Angelique,P5,0.4748700000000002,2.5676325447500434,0.015659165451169913,0.21176851529004903,21
Angelique,P7,0.30791666666666667,1.5660424426510198,0.12818689737238603,0.45877415901696056,22
Angelique,P9,0.13951333333333332,0.7382076854266133,0.46632062351670456,0.905994354261026,23
Angelique,PO7,0.44413666666666657,2.1336374642449076,0.041458136236157954,0.2838156080439305,24
Angelique,PO3,-0.19802333333333338,-1.0125882875077392,0.31963121511904546,0.8693969051238036,25
Angelique,O1,0.09922999999999998,0.49641112670556226,0.623346333017177,0.9323200398928059,26
Angelique,Iz,0.012833333333333313,0.06761305331759361,0.9465576866913249,0.9668830869234942,27
Angelique,Oz,-0.20536666666666673,-1.0266712732792151,0.313063110483907,0.8693969051238036,28
Angelique,POz,-0.06970333333333331,-0.36176635277676,0.7201493449000247,0.9417337587154169,29
Angelique,Pz,0.08006999999999996,0.3859859474165324,0.7023243387268701,0.9364324516358267,30
Angelique,CPz,0.14286333333333337,0.7614428723982701,0.45254061395460193,0.9050812279092039,31
Angelique,Fpz,0.04209000000000001,0.21982747811089096,0.8275456071111824,0.9440273473349878,32
Angelique,Fp2,-0.1133,-0.6485241014988112,0.5217486836792123,0.9323200398928059,33
Angelique,AF8,0.3260633333333333,2.169671222238174,0.03836699340120584,0.2838156080439305,34
Angelique,AF4,-0.01736333333333329,-0.09141087004742017,0.9277946359722951,0.9668830869234942,35
Angelique,AFz,0.04097333333333333,0.21280836626838198,0.8329653064720481,0.9440273473349878,36
Angelique,Fz,0.007749999999999998,0.04187783906833121,0.9668830869234942,0.9668830869234942,37
Angelique,F2,-0.007386666666666635,-0.04215452194532378,0.9666644202408832,0.9668830869234942,38
Angelique,F4,-0.02409333333333326,-0.12891646568180484,0.8983136927335048,0.9544582985293488,39
Angelique,F6,0.15147000000000005,0.8792427507275056,0.3864973642598343,0.891836391927562,40
Angelique,F8,-0.11934999999999997,-0.6540746804003877,0.5182173652180966,0.9323200398928059,41
Angelique,FT8,0.11139333333333344,0.6423365418429602,0.5257005577927943,0.9323200398928059,42
Angelique,FC6,-0.06121000000000002,-0.3428937868150884,0.73415154270685,0.9419302812087887,43
Angelique,FC4,0.07909000000000002,0.3879003064184208,0.7009225800436428,0.9364324516358267,44
Angelique,FC2,-0.023833333333333328,-0.13098300484233563,0.8966931960299755,0.9544582985293488,45
Angelique,FCz,-0.05605333333333335,-0.27447373949712034,0.7856664181625025,0.9440273473349878,46
Angelique,Cz,-0.08239999999999995,-0.3976849677407149,0.6937747369588423,0.9364324516358267,47
Angelique,C2,-0.05355999999999999,-0.2779276610480192,0.7830398120374594,0.9440273473349878,48
Angelique,C4,0.09315666666666665,0.5491541923601798,0.5871036438918666,0.9323200398928059,49
Angelique,C6,0.17509,0.902507678927011,0.3742227020621145,0.891836391927562,50
Angelique,T8,-0.04142333333333334,-0.2234233955062602,0.8247724012627411,0.9440273473349878,51
Angelique,TP8,0.44823666666666667,2.609614625510875,0.014189683186331214,0.21176851529004903,52
Angelique,CP6,0.2783633333333334,1.8457620213670196,0.0751588436859219,0.3194250856651681,53
Angelique,CP4,0.16433999999999999,0.9194932233528171,0.36542307997876117,0.891836391927562,54
Angelique,CP2,-0.027500000000000007,-0.1395020011116696,0.8900178069845854,0.9544582985293488,55
Angelique,P2,-0.15058999999999997,-0.8662619951639043,0.39345723173274794,0.891836391927562,56
Angelique,P4,0.21051000000000006,1.3568886658697472,0.18528523219333395,0.6299697894573354,57
Angelique,P6,0.3981566666666666,2.0012202529178027,0.05480482555342749,0.2896994619673428,58
Angelique,P8,0.47032,2.491571283218726,0.018685457231474915,0.21176851529004903,59
Angelique,P10,0.5472533333333334,2.6451795848745894,0.013046047992520383,0.21176851529004903,60
Angelique,PO8,0.5692966666666667,3.310356849350848,0.002499171644136613,0.08497183590064485,61
Angelique,PO4,0.3422266666666667,1.9264153874095846,0.0639042930810315,0.2896994619673428,62
Angelique,O2,0.29739999999999994,1.637800643991533,0.11227011144047609,0.4241315321084652,63
Angelique,PO9,0.3500433333333332,1.9916962044878523,0.0558964630087343,0.2896994619673428,64
