,,Dig,NumWoGE
roi_rms,S02,0.011916403580872426,0.37074772353980123
roi_rms,S03,0.1330414058882307,0.009111805723602706
roi_rms,S04,-0.062204263873856025,-0.12520789913834918
roi_rms,S05,-0.06973506566123572,-0.15807817280743347
roi_rms,S07,-0.09797189955674868,0.5906857279099527
roi_rms,S08,0.03859626983460385,0.13455957185720274
roi_rms,S09,0.14449971364447153,0.10255068865348255
roi_rms,S10,-0.03659397562463684,-0.018209708153165916
roi_rms,S11,0.04066413209492159,-0.06541877694129028
roi_rms,S13,-0.030885502215480587,0.08860110216919098
roi_rms,S15,-0.03849858252731253,0.40664382744310557
roi_rms,S16,0.07274691929008781,0.24862027312777663
roi_rms,S18,-0.05321596953256191,-0.04038975799927974
roi_rms,S19,0.08024886082222116,-0.08880808085276831
roi_rms,S21,-0.19784814401127965,0.07452693792888232
roi_rms,S22,-0.060502777568955,-0.023206771076471455
roi_rms,S23,0.09226061763843318,0.10974125124256026
roi_rms,S24,0.06609440420457108,0.09635042940961092
roi_rms,S25,-0.09207735815022411,-0.0774518940951256
roi_rms,S26,0.0037540377115028445,0.10064480049857333
roi_rms,S27,-0.07131567505842507,0.02859785082993982
roi_rms,S28,0.20482822981553572,-0.2175423950061099
roi_rms,S29,0.05199633269853621,-0.30072265549963284
roi_rms,S31,0.07850372848076745,-0.08552540582848528
roi_rms,S32,0.23050803378575396,-0.05527571012134702
roi_rms,S33,-0.13996412614809872,0.06208481739919319
roi_rms,S34,0.13543052645746967,0.015622743721524168
roi_rms,S35,0.09478515947405053,-0.061281162264405664
roi_rms,S37,0.08302893740866524,-0.12925992132442
roi_rms,S38,-0.00774264476001596,-0.015319130518203439
roi_tmpl,S02,0.4596874683163093,2.999427133754376
roi_tmpl,S03,1.3200232396041591,1.2430920177868492
roi_tmpl,S04,-0.14403443612115419,-0.5970865682295252
roi_tmpl,S05,0.266413608853114,1.3335229374705435
roi_tmpl,S07,1.0608597141137608,4.385617414603524
roi_tmpl,S08,0.2771104858274456,0.7446629867755875
roi_tmpl,S09,0.8398822423572773,-0.3202174364315587
roi_tmpl,S10,1.6840220423726489,-2.4323519793067896
roi_tmpl,S11,1.5061529518511314,-0.3327845524492977
roi_tmpl,S13,2.6734540458721288,1.1963324328285507
roi_tmpl,S15,1.0091488813166831,2.4523795699946116
roi_tmpl,S16,0.819381521243607,3.1054375293644143
roi_tmpl,S18,2.511838965271751,0.6660611944328649
roi_tmpl,S19,1.0602496432548276,-0.04945041441509416
roi_tmpl,S21,-0.7064028925796707,-0.0667530652634744
roi_tmpl,S22,-0.5255868185406856,-0.3034599022526233
roi_tmpl,S23,-0.0979134632869406,-0.2882644818961695
roi_tmpl,S24,0.26155278036843016,3.5710761482661018
roi_tmpl,S25,0.8748009335135305,-0.5384580193434516
roi_tmpl,S26,0.7386886854002216,1.1246749643380545
roi_tmpl,S27,0.5388141469400343,-1.6136864470849062
roi_tmpl,S28,1.7882620179788968,2.488342202362748
roi_tmpl,S29,1.1239344864502707,2.0518465263439505
roi_tmpl,S31,0.09717993709027184,-1.1074674348566
roi_tmpl,S32,0.2736474255852666,-0.23609223545033853
roi_tmpl,S33,0.6802430082560402,0.5254658822621755
roi_tmpl,S34,4.962428575516667,1.8865687603157149
roi_tmpl,S35,2.3235818299488127,0.7355470481959316
roi_tmpl,S37,2.521695688297695,-0.25338203497173795
roi_tmpl,S38,1.522360040127971,-0.2775587726419574
tdca,S02,0.018056073510320823,0.024428180799835594
tdca,S03,0.002589245039054638,0.01566921152516396
tdca,S04,0.001639051745763136,0.016072124773686056
tdca,S05,0.002527979874967835,0.0038824814647639276
tdca,S07,0.019231533477656975,0.045758471917899834
tdca,S08,0.006949234353981854,0.006504379119490613
tdca,S09,-0.019158647309943818,0.005681933220327566
tdca,S10,0.026226192688775546,-0.02486400834416393
tdca,S11,0.031181909871993832,0.011844230004828198
tdca,S13,0.05112626190671746,0.0019382807696345947
tdca,S15,-0.0005796784234619129,0.036737206436929855
tdca,S16,-0.023077743162688933,0.025551223783677104
tdca,S18,0.026437254802676027,-0.00858783812373941
tdca,S19,-0.003769570402170363,0.0010740369392984608
tdca,S21,0.005313482672854243,-0.008031819672205004
tdca,S22,-0.0031851739448662034,-0.007452187289028841
tdca,S23,-0.011992376061942325,0.02102590862123214
tdca,S24,-0.002665488489056473,0.03919710782180432
tdca,S25,-0.004025936956715469,-0.0006901463580297481
tdca,S26,0.01454394348815422,0.008573374389561225
tdca,S27,-0.005225456074560313,-0.008964897766020592
tdca,S28,0.022076089364044777,0.033104385342157906
tdca,S29,0.020862552017482175,0.015487517233120135
tdca,S31,0.00404154212368654,0.0025324353226724022
tdca,S32,0.03155778741928815,-0.016339262769165534
tdca,S33,0.011513962153342577,-0.004085775815693225
tdca,S34,0.048641658345389444,0.030786947883243345
tdca,S35,0.02769375459591403,0.015265784349480014
tdca,S37,0.00469211753743017,-0.0013002551761944834
tdca,S38,0.0032440992244520315,0.00015389395248769535
