subset,arm,op,subject,z,p,n_assignments
D1 digits,disc,roi_tmpl,S35,1.091064364516193,0.125,8
D1 digits,disc,tdca,S35,1.4859161343571239,0.125,8
D1 digits,disc,roi_rms,S37,0.5237782404263168,0.3125,8
D1 digits,disc,roi_tmpl,S37,1.2290479989530316,0.125,8
D1 digits,disc,tdca,S37,1.0563955061814396,0.125,8
D1 digits,disc,roi_rms,S38,-0.03191870489942035,0.5625,8
D1 digits,disc,roi_tmpl,S38,1.575571824178785,0.125,8
D1 digits,disc,tdca,S38,0.7289240087002549,0.375,8
D1 digits,ctrl,roi_rms,S02,1.2083899029484506,0.0625,8
D1 digits,ctrl,roi_tmpl,S02,-0.8113586393115603,0.625,8
D1 digits,ctrl,tdca,S02,0.6682986509607008,0.375,8
D1 digits,ctrl,roi_rms,S03,1.2470774362548862,0.0625,8
D1 digits,ctrl,roi_tmpl,S03,0.4517877266844836,0.375,8
D1 digits,ctrl,tdca,S03,-0.9974045527686102,0.875,8
D1 digits,ctrl,roi_rms,S04,1.193753422694715,0.1875,8
D1 digits,ctrl,roi_tmpl,S04,-1.0080539853665607,0.875,8
D1 digits,ctrl,tdca,S04,-1.607916539324234,0.875,8
D1 digits,ctrl,roi_rms,S05,1.3676006896575938,0.0625,8
D1 digits,ctrl,roi_tmpl,S05,-0.29922524654735844,0.625,8
D1 digits,ctrl,tdca,S05,-0.11093735904858587,0.625,8
D1 digits,ctrl,roi_rms,S07,0.950514010636657,0.1875,8
D1 digits,ctrl,roi_tmpl,S07,1.0497769389163591,0.125,8
D1 digits,ctrl,tdca,S07,-0.16756623715090221,0.375,8
D1 digits,ctrl,roi_rms,S08,1.1325202034421957,0.0625,8
D1 digits,ctrl,roi_tmpl,S08,0.6623062172806307,0.375,8
D1 digits,ctrl,tdca,S08,0.8925806343128918,0.125,8
D1 digits,ctrl,roi_rms,S09,-1.5721248832384063,0.9375,8
D1 digits,ctrl,roi_tmpl,S09,1.0446254473635974,0.125,8
D1 digits,ctrl,tdca,S09,-0.5089924246866013,0.625,8
D1 digits,ctrl,roi_rms,S10,-0.1995897027004061,0.6875,8
D1 digits,ctrl,roi_tmpl,S10,-0.8642314929793112,0.625,8
D1 digits,ctrl,tdca,S10,-0.11177744247231576,0.375,8
D1 digits,ctrl,roi_rms,S11,1.1705537271373316,0.0625,8
D1 digits,ctrl,roi_tmpl,S11,-0.318608905478865,0.625,8
D1 digits,ctrl,tdca,S11,-0.541872677099639,0.625,8
D1 digits,ctrl,roi_rms,S13,0.6211990513327647,0.3125,8
D1 digits,ctrl,roi_tmpl,S13,-0.9411297078824284,0.875,8
D1 digits,ctrl,tdca,S13,-1.5860330566613756,0.875,8
D1 digits,ctrl,roi_rms,S15,-0.40190734592074445,0.6875,8
D1 digits,ctrl,roi_tmpl,S15,-0.5649150733853565,0.625,8
D1 digits,ctrl,tdca,S15,0.2934998316304183,0.625,8
D1 digits,ctrl,roi_rms,S16,-0.08674354683931301,0.625,4
D1 digits,ctrl,roi_tmpl,S16,-0.7118983596374372,0.625,4
D1 digits,ctrl,tdca,S16,0.7568856565119969,0.375,4
D1 digits,ctrl,roi_rms,S18,0.26575915535514627,0.4375,8
D1 digits,ctrl,roi_tmpl,S18,0.38960458877476817,0.375,8
D1 digits,ctrl,tdca,S18,1.0953619633032476,0.125,8
D1 digits,ctrl,roi_rms,S19,-0.28443561954672264,0.5625,8
D1 digits,ctrl,roi_tmpl,S19,0.5653192306262709,0.375,8
D1 digits,ctrl,tdca,S19,-0.8281069916459214,0.625,8
D1 digits,ctrl,roi_rms,S21,1.4124125850457911,0.0625,8
D1 digits,ctrl,roi_tmpl,S21,0.8982881295731957,0.125,8
D1 digits,ctrl,tdca,S21,0.6135872883868556,0.375,8
D1 digits,ctrl,roi_rms,S22,1.1885427643975925,0.1875,8
D1 digits,ctrl,roi_tmpl,S22,0.1136839304394988,0.375,8
D1 digits,ctrl,tdca,S22,0.8889503248414492,0.375,8
D1 digits,ctrl,roi_rms,S23,-0.19512901610682057,0.5625,8
D1 digits,ctrl,roi_tmpl,S23,-1.3962919113339352,0.875,8
D1 digits,ctrl,tdca,S23,1.3502102357139871,0.125,8
D1 digits,ctrl,roi_rms,S24,1.3027772910857067,0.0625,8
D1 digits,ctrl,roi_tmpl,S24,0.8453985247812399,0.375,8
D1 digits,ctrl,tdca,S24,-1.3580507030987063,0.875,8
D1 digits,ctrl,roi_rms,S25,-0.07471586813141141,0.5625,8
D1 digits,ctrl,roi_tmpl,S25,-0.9138921927519682,0.625,8
D1 digits,ctrl,tdca,S25,0.1859609705075649,0.375,8
D1 digits,ctrl,roi_rms,S26,1.3436790212683676,0.0625,8
D1 digits,ctrl,roi_tmpl,S26,-0.12185722927838345,0.375,8
D1 digits,ctrl,tdca,S26,1.3688431897603506,0.125,8
D1 digits,ctrl,roi_rms,S27,1.2596274207363847,0.1875,8
D1 digits,ctrl,roi_tmpl,S27,1.4600053668923978,0.125,8
D1 digits,ctrl,tdca,S27,1.338523855768481,0.125,8
D1 digits,ctrl,roi_rms,S28,0.5961251580551823,0.4375,8
D1 digits,ctrl,roi_tmpl,S28,-1.4263744457416647,0.875,8
D1 digits,ctrl,tdca,S28,-0.8217804655776095,0.625,8
D1 digits,ctrl,roi_rms,S29,-0.7831821901758319,0.6875,8
D1 digits,ctrl,roi_tmpl,S29,-1.1830315614513534,0.875,8
D1 digits,ctrl,tdca,S29,0.5837781480730752,0.375,8
D1 digits,ctrl,roi_rms,S31,1.0832980503469598,0.1875,8
D1 digits,ctrl,roi_tmpl,S31,-1.4188236547785473,0.875,8
D1 digits,ctrl,tdca,S31,-1.1649310048714383,0.875,8
D1 digits,ctrl,roi_rms,S32,1.0657372969796641,0.1875,8
D1 digits,ctrl,roi_tmpl,S32,1.526004878139847,0.125,8
D1 digits,ctrl,tdca,S32,-1.3798005981449304,0.875,8
D1 digits,ctrl,roi_rms,S33,0.8486827276509732,0.3125,8
D1 digits,ctrl,roi_tmpl,S33,1.2155003620316305,0.125,8
D1 digits,ctrl,tdca,S33,1.1703360027137955,0.125,8
D1 digits,ctrl,roi_rms,S34,-0.46735154585599825,0.6875,8
D1 digits,ctrl,roi_tmpl,S34,0.6614542224040446,0.375,8
D1 digits,ctrl,tdca,S34,0.2555469156036434,0.625,8
D1 digits,ctrl,roi_rms,S35,-1.0830613323317597,0.8125,8
D1 digits,ctrl,roi_tmpl,S35,1.0660287912352133,0.125,8
D1 digits,ctrl,tdca,S35,0.565948661717129,0.375,8
D1 digits,ctrl,roi_rms,S37,-0.1337604793685111,0.5625,8
D1 digits,ctrl,roi_tmpl,S37,-1.1692779064186551,0.875,8
D1 digits,ctrl,tdca,S37,-0.7182830828740329,0.625,8
D1 digits,ctrl,roi_rms,S38,0.48209007243669433,0.4375,8
D1 digits,ctrl,roi_tmpl,S38,1.2674347919423001,0.125,8
D1 digits,ctrl,tdca,S38,1.2573018659127475,0.125,8
D1 words,disc,roi_rms,S02,1.37025987620087,0.0625,8
D1 words,disc,roi_tmpl,S02,1.0997959174091283,0.125,8
D1 words,disc,tdca,S02,1.266798971541453,0.125,8
D1 words,disc,roi_rms,S03,0.11528696975367851,0.4375,8
D1 words,disc,roi_tmpl,S03,1.3927787297961414,0.125,8
D1 words,disc,tdca,S03,1.442243443000864,0.125,8
D1 words,disc,roi_rms,S04,-0.47297600071828455,0.6875,8
D1 words,disc,roi_tmpl,S04,-1.4816246100581363,0.875,8
D1 words,disc,tdca,S04,1.3500255685137732,0.125,8
D1 words,disc,roi_rms,S05,-1.0161029652565559,0.8125,8
D1 words,disc,roi_tmpl,S05,1.0389546028748864,0.125,8
D1 words,disc,tdca,S05,1.142268607515206,0.125,8
D1 words,disc,roi_rms,S07,1.525075485178989,0.0625,8
D1 words,disc,roi_tmpl,S07,1.5852513088993496,0.125,8
D1 words,disc,tdca,S07,1.587617922513618,0.125,8
D1 words,disc,roi_rms,S08,0.8797993931541163,0.1875,8
D1 words,disc,roi_tmpl,S08,0.938228765871941,0.125,8
D1 words,disc,tdca,S08,1.2979321482059243,0.125,8
D1 words,disc,roi_rms,S09,1.1597009665229117,0.0625,8
D1 words,disc,roi_tmpl,S09,-0.32358393829725063,0.625,8
D1 words,disc,tdca,S09,1.4506892644847202,0.125,8
D1 words,disc,roi_rms,S10,-0.20187069522428255,0.6875,8
D1 words,disc,roi_tmpl,S10,-1.2969485854675964,0.875,8
D1 words,disc,tdca,S10,0.5678373318561747,0.375,8
D1 words,disc,roi_rms,S11,-0.2819572743572773,0.5625,8
D1 words,disc,roi_tmpl,S11,-0.22456900091283058,0.375,8
D1 words,disc,tdca,S11,0.9664958730153652,0.125,8
D1 words,disc,roi_rms,S13,1.4493329498033625,0.0625,8
D1 words,disc,roi_tmpl,S13,1.5990076820163448,0.125,8
D1 words,disc,tdca,S13,1.3369503783243648,0.125,8
D1 words,disc,roi_rms,S15,1.608841735687238,0.0625,8
D1 words,disc,roi_tmpl,S15,1.4850086940310807,0.125,8
D1 words,disc,tdca,S15,1.5491144004146762,0.125,8
D1 words,disc,roi_rms,S16,0.96898265812371,0.1875,8
D1 words,disc,roi_tmpl,S16,1.417423504918234,0.125,8
D1 words,disc,tdca,S16,1.5779089668836175,0.125,8
D1 words,disc,roi_rms,S18,-0.7976365935835698,0.6875,8
D1 words,disc,roi_tmpl,S18,0.4070970883961543,0.375,8
D1 words,disc,tdca,S18,0.3323686149836797,0.375,8
D1 words,disc,roi_rms,S19,-1.1110503005619357,0.8125,8
D1 words,disc,roi_tmpl,S19,1.2757014097060437,0.125,8
D1 words,disc,tdca,S19,1.6126299240385324,0.125,8
D1 words,disc,roi_rms,S21,0.43401625649434394,0.4375,8
D1 words,disc,roi_tmpl,S21,1.0871601146399028,0.125,8
D1 words,disc,tdca,S21,1.4215314595869257,0.125,8
D1 words,disc,roi_rms,S22,-0.14814798061915319,0.5625,8
D1 words,disc,roi_tmpl,S22,0.4080767969143178,0.625,8
D1 words,disc,tdca,S22,0.04254207866038132,0.375,8
D1 words,disc,roi_rms,S23,1.5354088946768085,0.0625,8
D1 words,disc,roi_tmpl,S23,-0.31162012663743466,0.625,8
D1 words,disc,tdca,S23,1.463375953448721,0.125,8
D1 words,disc,roi_rms,S24,1.316236138496304,0.0625,8
D1 words,disc,roi_tmpl,S24,1.1603409624487047,0.125,8
D1 words,disc,tdca,S24,1.5257810637279634,0.125,8
D1 words,disc,roi_rms,S25,-0.5783621979071915,0.6875,8
D1 words,disc,roi_tmpl,S25,-1.4067200160300906,0.875,8
D1 words,disc,tdca,S25,0.9080847775173538,0.125,8
D1 words,disc,roi_rms,S26,1.022725754592348,0.1875,8
D1 words,disc,roi_tmpl,S26,1.3265353992798403,0.125,8
D1 words,disc,tdca,S26,1.5238356899683596,0.125,8
D1 words,disc,roi_rms,S27,0.46087710212995364,0.4375,8
D1 words,disc,roi_tmpl,S27,-1.529677879290605,0.875,8
D1 words,disc,tdca,S27,1.232563862158027,0.125,8
D1 words,disc,roi_rms,S28,-1.3973765433267231,0.9375,8
D1 words,disc,roi_tmpl,S28,1.2244550880751692,0.125,8
D1 words,disc,tdca,S28,1.575331797245692,0.125,8
D1 words,disc,roi_rms,S29,-1.4528212300964984,0.9375,8
D1 words,disc,roi_tmpl,S29,0.9997682999532725,0.125,8
D1 words,disc,tdca,S29,1.2926040621051869,0.125,8
D1 words,disc,roi_rms,S31,-1.3805556104854124,0.9375,8
D1 words,disc,roi_tmpl,S31,-0.9776403760029744,0.875,8
D1 words,disc,tdca,S31,1.3367477777785648,0.125,8
D1 words,disc,roi_rms,S32,-0.38707207006362604,0.6875,8
D1 words,disc,roi_tmpl,S32,0.8130928448549696,0.125,8
D1 words,disc,tdca,S32,-0.06381640044212956,0.375,8
D1 words,disc,roi_rms,S33,0.610297984521437,0.4375,8
D1 words,disc,roi_tmpl,S33,1.1007824871164578,0.125,8
D1 words,disc,tdca,S33,0.9062103601126715,0.125,8
D1 words,disc,roi_rms,S34,0.1481283510935914,0.4375,8
D1 words,disc,roi_tmpl,S34,1.274088809950411,0.125,8
D1 words,disc,tdca,S34,1.5051000703557595,0.125,8
D1 words,disc,roi_rms,S35,-0.4020643842455044,0.5625,8
D1 words,disc,roi_tmpl,S35,1.359311340788302,0.125,8
D1 words,disc,tdca,S35,1.3974235664453132,0.125,8
D1 words,disc,roi_rms,S37,-0.8697813484674659,0.8125,8
D1 words,disc,roi_tmpl,S37,-0.07773441193310798,0.625,8
D1 words,disc,tdca,S37,0.22099766623576905,0.625,8
D1 words,disc,roi_rms,S38,-0.33713799606034206,0.5625,8
D1 words,disc,roi_tmpl,S38,0.39641045161209765,0.375,8
D1 words,disc,tdca,S38,0.3762354104987083,0.625,8
D1 words,ctrl,roi_rms,S02,1.2904516100113614,0.1875,8
D1 words,ctrl,roi_tmpl,S02,1.0658764353382009,0.125,8
D1 words,ctrl,tdca,S02,-1.1520182452915724,0.875,8
D1 words,ctrl,roi_rms,S03,0.28034090903635,0.4375,8
D1 words,ctrl,roi_tmpl,S03,1.4023059356045233,0.125,8
D1 words,ctrl,tdca,S03,-0.21064131367391734,0.625,8
D1 words,ctrl,roi_rms,S04,1.11282346419378,0.1875,8
D1 words,ctrl,roi_tmpl,S04,-0.07555593293679312,0.375,8
D1 words,ctrl,tdca,S04,1.4884919993241095,0.125,8
D1 words,ctrl,roi_rms,S05,-1.0516610028243039,0.8125,8
D1 words,ctrl,roi_tmpl,S05,1.1122203841062561,0.125,8
D1 words,ctrl,tdca,S05,1.3987774821353332,0.125,8
D1 words,ctrl,roi_rms,S07,0.2812050149957468,0.3125,8
D1 words,ctrl,roi_tmpl,S07,1.246090904214503,0.125,8
D1 words,ctrl,tdca,S07,0.03139435864703926,0.375,8
D1 words,ctrl,roi_rms,S08,-0.3476514792689561,0.5625,8
D1 words,ctrl,roi_tmpl,S08,-1.254705424901271,0.875,8
D1 words,ctrl,tdca,S08,-0.18222705765254157,0.625,8
D1 words,ctrl,roi_rms,S09,1.0073380000909282,0.1875,8
D1 words,ctrl,roi_tmpl,S09,-0.45753337615350415,0.625,8
D1 words,ctrl,tdca,S09,1.307673809078018,0.125,8
D1 words,ctrl,roi_rms,S10,-0.5987320099071116,0.6875,8
