dataset,subject,elec_idx,elec,z,p
Angelique,S03,47,Cz,-0.995,0.86719
Angelique,S03,48,C2,-1.9011,0.99219
Angelique,S03,49,C4,-1.5917,0.94531
Angelique,S03,50,C6,1.0757,0.21094
Angelique,S03,51,T8,1.4373,0.10156
Angelique,S03,52,TP8,1.2856,0.21094
Angelique,S03,53,CP6,1.2256,0.16406
Angelique,S03,54,CP4,0.9856,0.17969
Angelique,S03,55,CP2,0.9702,0.32031
Angelique,S03,56,P2,-0.6311,0.67969
Angelique,S03,57,P4,1.42,0.08594
Angelique,S03,58,P6,-1.4337,0.96094
Angelique,S03,59,P8,1.2011,0.00781
Angelique,S03,60,P10,1.7193,0.03906
Angelique,S03,61,PO8,-0.7767,0.50781
Angelique,S03,62,PO4,-0.8621,0.63281
Angelique,S03,63,O2,0.2287,0.38281
Angelique,S03,64,PO9,0.6801,0.28906
Angelique,S03,65,I1,0.9155,0.47656
Angelique,S03,66,I2,1.2881,0.14844
Angelique,S03,67,PO10,0.9331,0.22656
Angelique,S04,0,Fp1,-1.029,0.96094
Angelique,S04,1,AF7,-1.5461,0.96094
Angelique,S04,2,AF3,-1.432,0.97656
Angelique,S04,3,F1,-1.2147,0.86719
Angelique,S04,4,F3,-1.997,0.97656
Angelique,S04,5,F5,0.0986,0.47656
Angelique,S04,6,F7,-1.2572,0.82031
Angelique,S04,7,FT7,-1.3672,0.96094
Angelique,S04,8,FC5,-0.5815,0.57031
Angelique,S04,9,FC3,-0.9474,0.64844
Angelique,S04,10,FC1,-0.9898,0.67969
Angelique,S04,11,C1,-1.1409,0.86719
Angelique,S04,12,C3,-0.8614,0.66406
Angelique,S04,13,C5,-0.6948,0.63281
Angelique,S04,14,T7,-0.4862,0.66406
Angelique,S04,15,TP7,-0.9588,0.77344
Angelique,S04,16,CP5,0.8962,0.35156
Angelique,S04,17,CP3,-1.0229,0.92969
Angelique,S04,18,CP1,-1.637,0.99219
Angelique,S04,19,P1,0.7412,0.24219
Angelique,S04,20,P3,-1.2172,0.99219
Angelique,S04,21,P5,-0.9228,0.72656
Angelique,S04,22,P7,-1.4761,0.97656
Angelique,S04,23,P9,-1.2637,0.89844
Angelique,S04,24,PO7,-1.2214,0.96094
Angelique,S04,25,PO3,-1.2272,0.86719
Angelique,S04,26,O1,-1.2523,0.88281
Angelique,S04,27,Iz,0.6131,0.44531
Angelique,S04,28,Oz,-1.1705,0.86719
Angelique,S04,29,POz,-1.1647,0.86719
Angelique,S04,30,Pz,-0.9869,0.77344
Angelique,S04,31,CPz,-1.3986,0.99219
Angelique,S04,32,Fpz,-1.0943,0.96094
Angelique,S04,33,Fp2,-1.0292,0.96094
Angelique,S04,34,AF8,0.9428,0.46094
Angelique,S04,35,AF4,-1.637,0.97656
Angelique,S04,36,AFz,-1.0693,0.96094
Angelique,S04,37,Fz,-2.0616,0.97656
Angelique,S04,38,F2,-1.6857,0.99219
Angelique,S04,39,F4,-1.7279,0.97656
Angelique,S04,40,F6,-1.4928,0.96094
Angelique,S04,41,F8,0.0754,0.49219
Angelique,S04,42,FT8,-1.1963,0.91406
Angelique,S04,43,FC6,-0.9329,0.74219
Angelique,S04,44,FC4,-1.0872,0.89844
Angelique,S04,45,FC2,-1.0009,0.85156
Angelique,S04,46,FCz,-0.9968,0.83594
Angelique,S04,47,Cz,-1.2138,0.97656
Angelique,S04,48,C2,-1.1202,0.88281
