dataset,subject,block_id,stratum,y,learned_diff,learned_mean,roi_diff,roi_mean,eig
Angelique,S03,epbin_NumWoGE_20F_Std_Par 15 rr fixF8 ica ep1 but chanlocs chansel chanlabels S03.csv,NumWoGE|20F/S,1,0.3428643395644013,0.6997406313472266,0.38270686217169375,0.21655748796992333,0.0029031471816229914
Angelique,S04,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|1F,0,0.551602234262615,2.0465708790549884,0.552818390577536,0.8703672485022164,0.0020189665784303627
Angelique,S04,epbin_Dig_1F_Par 11 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|1F,1,0.36124848440384666,2.0015368206524435,0.5043693137123237,0.907342143876086,0.0017085595495054027
Angelique,S04,epbin_Dig_20F_Atp_C1 23 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|20F/A,0,0.5045415775217473,3.128149508187698,0.5310449292547338,1.4229519825342956,0.002058931600632123
Angelique,S04,epbin_Dig_20F_Atp_Par 13 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|20F/A,1,0.311410006648683,3.0842558317712547,0.4146204033318214,1.4201210896582748,0.0019324372156451376
Angelique,S04,epbin_Dig_20F_Std_C1 22 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|20F/S,0,0.3561808816722252,3.394301545383041,0.3681847466286123,1.4538063874433247,0.0019510261961453279
Angelique,S04,epbin_Dig_20F_Std_Par 12 rr ica ep1 but chanlocs chansel chanlabels S04.csv,Dig|20F/S,1,0.37196649846315355,3.5167192625188983,0.3439444869062529,1.5432869076345963,0.0018878468639847402
Angelique,S04,epbin_NumWoGE_1F_C1 24 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|1F,0,0.6945955407261671,2.493205154837024,1.2900447006290297,1.0371305622237623,0.0016161403112826753
Angelique,S04,epbin_NumWoGE_1F_Par 14 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|1F,1,0.4364806799544996,2.4487491188136143,0.6166030138547269,1.0148697656915637,0.0015917301589899605
Angelique,S04,epbin_NumWoGE_20F_Atp_C1 26 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|20F/A,0,0.3675420073469369,4.148779583647805,0.3624248487919918,2.151065830516241,0.0018024477168153401
Angelique,S04,epbin_NumWoGE_20F_Atp_Par 16 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|20F/A,1,0.31820730081557674,4.275766636054878,0.3429945406269671,2.232522502351004,0.0016647572606520626
Angelique,S04,epbin_NumWoGE_20F_Std_C1 25 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|20F/S,0,0.3346074041368691,3.6898434453884073,0.4549947708646203,1.4492264607323153,0.0015983542515963028
Angelique,S04,epbin_NumWoGE_20F_Std_Par 15 rr ica ep1 but chanlocs chansel chanlabels S04.csv,NumWoGE|20F/S,1,0.6223924273658182,3.596661403374629,0.7734162842321374,1.5294372057820933,0.0019881408280495857
Angelique,S05,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|1F,0,0.2670527633869292,0.7608650596269072,0.5444561845590477,0.490585997457841,0.003748226616750943
Angelique,S05,epbin_Dig_1F_Par 11 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|1F,1,0.20276304074516505,0.7357762513340264,0.3192726614588484,0.582736824281976,0.0038624122941064015
Angelique,S05,epbin_Dig_20F_Atp_C1 23 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|20F/A,0,0.25350124025360465,0.9803218131455315,0.5075651621685174,0.5028811933242784,0.004054275191960326
Angelique,S05,epbin_Dig_20F_Atp_Par 13 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|20F/A,1,0.15899252377813272,1.0387605720130322,0.3674105955263216,0.5663798266897148,0.00400922611377375
Angelique,S05,epbin_Dig_20F_Std_C1 22 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|20F/S,0,0.2797338094395026,1.1497004409388327,0.3517292538897904,0.5213012047971877,0.003975659987589555
Angelique,S05,epbin_Dig_20F_Std_Par 12 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,Dig|20F/S,1,0.28898534764654427,1.3952350566865093,0.5007603854224265,0.7892535599699585,0.0037708129803452634
Angelique,S05,epbin_NumWoGE_1F_C1 24 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|1F,0,0.38753972091055366,0.8074316400146574,0.8492604354476893,0.5108397859557671,0.0035886211737993536
Angelique,S05,epbin_NumWoGE_1F_Par 14 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|1F,1,0.4352199274224555,0.47677471211136785,0.41996957274913316,0.32154257053064284,0.0034477346325657125
Angelique,S05,epbin_NumWoGE_20F_Atp_C1 26 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|20F/A,0,0.22522807321049268,1.3593350800401696,0.5075503029167391,0.6184440046214014,0.003921357105914157
Angelique,S05,epbin_NumWoGE_20F_Atp_Par 16 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|20F/A,1,0.37845977575854817,1.504778571902302,0.5399021263674805,0.6737594659637307,0.003873934880462609
Angelique,S05,epbin_NumWoGE_20F_Std_C1 25 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|20F/S,0,0.4632349365460423,1.5239347381781396,0.5743270601266772,0.8334190331182538,0.0038517305747920805
Angelique,S05,epbin_NumWoGE_20F_Std_Par 15 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,NumWoGE|20F/S,1,0.3762503425582831,1.44084701721397,0.5034101223229289,0.6966197850291176,0.004027761858861719
Angelique,S07,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|1F,0,0.2786991344828696,2.0429255851377164,0.5088009597580097,0.9923555066083496,0.0040919852151978615
Angelique,S07,epbin_Dig_1F_Par 11 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|1F,1,0.2537261482115262,2.083896774514311,0.39668646078822173,1.1762667489625003,0.00445734885726842
Angelique,S07,epbin_Dig_20F_Atp_C1 23 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|20F/A,0,0.16390672718017027,1.7609813105302135,0.3823890758084077,1.254543022087706,0.0045020797189984
Angelique,S07,epbin_Dig_20F_Atp_Par 13 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|20F/A,1,0.23047611229501294,1.9904019497771082,0.27164140068080167,1.3204182943436933,0.004090222835351705
Angelique,S07,epbin_Dig_20F_Std_C1 22 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|20F/S,0,0.2431611178951429,1.8433556414587837,0.434674007978891,1.595454219255862,0.004075251764404633
Angelique,S07,epbin_Dig_20F_Std_Par 12 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,Dig|20F/S,1,0.2502512332896322,1.9454183684762438,0.36498963775846216,1.5511640067599088,0.004312714553463195
Angelique,S07,epbin_NumWoGE_1F_C1 24 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|1F,0,0.21546561721542476,2.115420095781122,0.28815285750824493,0.8581468205046046,0.0038837008361119574
Angelique,S07,epbin_NumWoGE_1F_Par 14 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|1F,1,0.18212791230628234,2.251461084948825,1.1677214510769738,0.947301086189974,0.004163259944152392
Angelique,S07,epbin_NumWoGE_20F_Atp_C1 26 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|20F/A,0,0.20132014045462185,2.073127315573803,0.44165482921775245,1.0011867988890686,0.004152720636457077
Angelique,S07,epbin_NumWoGE_20F_Atp_Par 16 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|20F/A,1,0.15748027905286024,1.9422393320630664,0.8305360644935996,0.9430211106759097,0.003809437821397849
Angelique,S07,epbin_NumWoGE_20F_Std_C1 25 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|20F/S,0,0.23959221848646517,1.8713066258620943,0.32713767704479024,0.8994700456694491,0.0038844693468685393
Angelique,S07,epbin_NumWoGE_20F_Std_Par 15 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,NumWoGE|20F/S,1,0.30191229328431135,2.011007231907908,0.8274073872417024,0.9007417462324621,0.0033736532698199393
Angelique,S08,epbin_Dig_1F_C1 21 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|1F,0,0.20386042551272235,1.0215010656680037,0.27408465017530104,0.4156124824300112,0.002924106024746144
Angelique,S08,epbin_Dig_1F_Par 11 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|1F,1,0.27108140631171035,1.3653071021396155,0.5349608706830185,0.7519253704946272,0.002427690902214875
Angelique,S08,epbin_Dig_20F_Atp_C1 23 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|20F/A,0,0.1986111518774887,0.7648529820411177,0.4835110489244129,0.4328767591964316,0.0025590193960767374
Angelique,S08,epbin_Dig_20F_Atp_Par 13 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|20F/A,1,0.2905444266666579,1.0213596882268319,0.3937153101346912,0.4912412452426587,0.0024013580764853442
Angelique,S08,epbin_Dig_20F_Std_C1 22 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|20F/S,0,0.19792132259642276,1.3939333347337435,0.24229925389462575,0.8339395532359516,0.0028105157288490527
Angelique,S08,epbin_Dig_20F_Std_Par 12 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,Dig|20F/S,1,0.1441260275518776,1.7347944795119137,0.19002671690510697,0.8533570746116075,0.0026924006381102566
Angelique,S08,epbin_NumWoGE_1F_C1 24 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|1F,0,0.13934038452399913,1.705521273433582,0.288856134297577,0.7995331869268468,0.002735483319776441
Angelique,S08,epbin_NumWoGE_1F_Par 14 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|1F,1,0.3018384464591412,1.0775202343246086,0.4414523506188609,0.3854750740482349,0.0027023725003748225
Angelique,S08,epbin_NumWoGE_20F_Atp_C1 26 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|20F/A,0,0.36412000622769153,0.760558716345125,0.28250659880512297,0.32252991685359717,0.0028635229158130264
Angelique,S08,epbin_NumWoGE_20F_Atp_Par 16 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|20F/A,1,0.1899249295064405,1.034691427117252,0.6607934455242906,0.4092706056122464,0.002866490218078559
Angelique,S08,epbin_NumWoGE_20F_Std_C1 25 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|20F/S,0,0.3017977159287178,1.3224758939448498,0.423030012491427,0.632853680097628,0.0026772940333410077
Angelique,S08,epbin_NumWoGE_20F_Std_Par 15 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,NumWoGE|20F/S,1,0.1608749041473222,1.303140030635924,0.2962067779482147,0.7930892318963724,0.0026461638023442657
Angelique,S09,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|1F,0,0.4198619524639598,0.8568125299385644,0.28825085913896425,0.5567766228333307,0.0038162307405231115
Angelique,S09,epbin_Dig_1F_Par 11 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|1F,1,0.3220627557794575,1.1184319561822158,0.43259975557365654,0.504179705759643,0.0032369422703400724
Angelique,S09,epbin_Dig_20F_Atp_C1 23 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|20F/A,0,0.3702990878176149,1.160903793602786,0.258188319467399,0.4593215804869136,0.0036979768086267068
Angelique,S09,epbin_Dig_20F_Atp_Par 13 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|20F/A,1,0.28024911739198666,0.9309504301113337,0.39063841968725094,0.37295482651063205,0.0032594907224843908
Angelique,S09,epbin_Dig_20F_Std_C1 22 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|20F/S,0,0.3481781235286213,1.723305518817813,0.15682726069648384,0.7406402825460681,0.0036979285745450063
Angelique,S09,epbin_Dig_20F_Std_Par 12 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,Dig|20F/S,1,0.25658601718699864,1.6149072820340953,0.31699171522788555,0.68698777631325,0.0037449150281538214
Angelique,S09,epbin_NumWoGE_1F_C1 24 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|1F,0,0.4146935405410312,1.4887759165474095,0.40204721025038076,0.5060020715259859,0.0032309830041358035
Angelique,S09,epbin_NumWoGE_1F_Par 14 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|1F,1,0.5823741420011084,1.6952262998857888,0.6455097115643206,0.6046480310804184,0.0025474257606564583
Angelique,S09,epbin_NumWoGE_20F_Atp_C1 26 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|20F/A,0,0.18487560885769583,1.0042182167616087,0.37079364534922526,0.392390053112521,0.003580202835912552
Angelique,S09,epbin_NumWoGE_20F_Atp_Par 16 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|20F/A,1,0.4090329510736397,0.4097506320033445,0.3947765265499463,0.3577681245023736,0.0028824943304014525
Angelique,S09,epbin_NumWoGE_20F_Std_C1 25 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|20F/S,0,0.4938515884627027,1.3776285924984373,0.31854076234423706,0.32049789691979264,0.0035420340751584007
Angelique,S09,epbin_NumWoGE_20F_Std_Par 15 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,NumWoGE|20F/S,1,0.45972206656118414,1.549121286509836,0.35015819562121486,0.38686441363248275,0.0028735466421405402
Angelique,S10,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|1F,0,0.2499592899260309,1.7318012839432377,0.4363933408853266,0.5611833736510817,0.003560343148850216
Angelique,S10,epbin_Dig_1F_Par 11 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|1F,1,0.4064697937546109,1.6126863181822062,0.604429865605011,0.5559958217874614,0.003259973572192018
Angelique,S10,epbin_Dig_20F_Atp_C1 23 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|20F/A,0,0.2814934440195563,2.5995186291384136,0.5438785564439478,1.228803890010128,0.003296480807122191
Angelique,S10,epbin_Dig_20F_Atp_Par 13 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|20F/A,1,0.2911099891291521,2.2489152602260187,0.330598412357802,1.1174107998529912,0.003149883849268644
Angelique,S10,epbin_Dig_20F_Std_C1 22 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|20F/S,0,0.28901969469184574,2.2234482534341784,0.2293429541423144,1.177291561268464,0.0033490762688487157
Angelique,S10,epbin_Dig_20F_Std_Par 12 rr ica ep1 but chanlocs chansel chanlabels S10.csv,Dig|20F/S,1,0.16097707789041363,2.548402783322238,0.159453994174388,1.2638395976914734,0.0036895783357769715
Angelique,S10,epbin_NumWoGE_1F_C1 24 rr ica ep1 but chanlocs chansel chanlabels S10.csv,NumWoGE|1F,0,0.21718805481523884,1.7206908240773402,0.8119613910929568,0.5157520638653542,0.0031264229846287204
