dataset,subject,modality,font,n_seq,purity_kmeans,feature,level
Angelique,S21,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S21,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S21,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S21,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S21,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S22,Dig,1F,4,0.75,SNR_occ,font
Angelique,S22,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S22,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S22,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S22,NumWoGE,20F/A,4,1.0,SNR_occ,font
Angelique,S22,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S23,Dig,1F,4,1.0,SNR_occ,font
Angelique,S23,Dig,20F/A,4,1.0,SNR_occ,font
Angelique,S23,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S23,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S23,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S23,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S24,Dig,1F,4,0.75,SNR_occ,font
Angelique,S24,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S24,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S24,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S24,NumWoGE,20F/A,4,0.5,SNR_occ,font
Angelique,S24,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S25,Dig,1F,4,0.75,SNR_occ,font
Angelique,S25,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S25,Dig,20F/S,4,1.0,SNR_occ,font
Angelique,S25,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S25,NumWoGE,20F/A,4,0.5,SNR_occ,font
Angelique,S25,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S26,Dig,1F,4,0.5,SNR_occ,font
Angelique,S26,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S26,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S26,NumWoGE,1F,4,0.5,SNR_occ,font
Angelique,S26,NumWoGE,20F/A,4,1.0,SNR_occ,font
Angelique,S26,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S27,Dig,1F,4,0.75,SNR_occ,font
Angelique,S27,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S27,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S27,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S27,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S27,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S28,Dig,1F,4,0.75,SNR_occ,font
Angelique,S28,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S28,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S28,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S28,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S28,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S29,Dig,1F,4,0.5,SNR_occ,font
Angelique,S29,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S29,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S29,NumWoGE,1F,4,1.0,SNR_occ,font
Angelique,S29,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S29,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S31,Dig,1F,4,1.0,SNR_occ,font
Angelique,S31,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S31,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S31,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S31,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S31,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S32,Dig,1F,4,0.5,SNR_occ,font
Angelique,S32,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S32,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S32,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S32,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S32,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S33,Dig,1F,4,0.75,SNR_occ,font
Angelique,S33,Dig,20F/A,4,1.0,SNR_occ,font
Angelique,S33,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S33,NumWoGE,1F,4,0.5,SNR_occ,font
Angelique,S33,NumWoGE,20F/A,4,1.0,SNR_occ,font
Angelique,S33,NumWoGE,20F/S,4,1.0,SNR_occ,font
Angelique,S34,Dig,1F,4,0.75,SNR_occ,font
Angelique,S34,Dig,20F/A,4,1.0,SNR_occ,font
Angelique,S34,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S34,NumWoGE,1F,4,0.5,SNR_occ,font
Angelique,S34,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S34,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S35,Dig,1F,4,0.75,SNR_occ,font
Angelique,S35,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S35,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S35,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S35,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S35,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S37,Dig,1F,4,0.5,SNR_occ,font
Angelique,S37,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S37,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S37,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S37,NumWoGE,20F/A,4,0.5,SNR_occ,font
Angelique,S37,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S38,Dig,1F,4,0.75,SNR_occ,font
Angelique,S38,Dig,20F/A,4,0.75,SNR_occ,font
