dataset,subject,elec_idx,elec,z,p
Angelique,S03,49,C4,1.1658,0.13281
Angelique,S03,50,C6,1.7274,0.00781
Angelique,S03,51,T8,0.984,0.21094
Angelique,S03,52,TP8,-0.927,0.80469
Angelique,S03,53,CP6,0.3545,0.46094
Angelique,S03,54,CP4,-0.3662,0.63281
Angelique,S03,55,CP2,-0.433,0.61719
Angelique,S03,56,P2,0.3382,0.36719
Angelique,S03,57,P4,0.3592,0.38281
Angelique,S03,58,P6,0.7684,0.22656
Angelique,S03,59,P8,0.1847,0.42969
Angelique,S03,60,P10,0.1556,0.46094
Angelique,S03,61,PO8,1.7051,0.05469
Angelique,S03,62,PO4,-0.1034,0.52344
Angelique,S03,63,O2,1.0505,0.16406
Angelique,S03,64,PO9,1.212,0.17969
Angelique,S03,65,I1,0.6838,0.30469
Angelique,S03,66,I2,0.6621,0.27344
Angelique,S03,67,PO10,0.0167,0.49219
Angelique,S04,0,Fp1,1.4852,0.07031
Angelique,S04,1,AF7,1.4145,0.10156
Angelique,S04,2,AF3,0.5337,0.28906
Angelique,S04,3,F1,1.049,0.14844
Angelique,S04,4,F3,1.5436,0.07031
Angelique,S04,5,F5,0.8719,0.19531
Angelique,S04,6,F7,1.8294,0.03906
Angelique,S04,7,FT7,1.1372,0.13281
Angelique,S04,8,FC5,2.2448,0.00781
Angelique,S04,9,FC3,1.7462,0.03906
Angelique,S04,10,FC1,1.4301,0.08594
Angelique,S04,11,C1,0.9279,0.16406
Angelique,S04,12,C3,0.0134,0.49219
Angelique,S04,13,C5,1.1526,0.13281
Angelique,S04,14,T7,0.9485,0.19531
Angelique,S04,15,TP7,-1.0807,0.85156
Angelique,S04,16,CP5,-0.601,0.71094
Angelique,S04,17,CP3,-1.0009,0.80469
Angelique,S04,18,CP1,1.4276,0.10156
Angelique,S04,19,P1,1.0033,0.14844
Angelique,S04,20,P3,0.1278,0.44531
Angelique,S04,21,P5,0.7094,0.25781
Angelique,S04,22,P7,1.0,0.19531
Angelique,S04,23,P9,0.4836,0.33594
Angelique,S04,24,PO7,1.5302,0.02344
Angelique,S04,25,PO3,1.3504,0.10156
Angelique,S04,26,O1,1.4532,0.08594
Angelique,S04,27,Iz,-0.8606,0.78906
Angelique,S04,28,Oz,1.4915,0.05469
Angelique,S04,29,POz,1.0445,0.19531
Angelique,S04,30,Pz,-0.4804,0.66406
Angelique,S04,31,CPz,-0.8172,0.75781
Angelique,S04,32,Fpz,0.854,0.24219
Angelique,S04,33,Fp2,0.6912,0.24219
Angelique,S04,34,AF8,1.6511,0.03906
Angelique,S04,35,AF4,1.2585,0.17969
Angelique,S04,36,AFz,0.0774,0.46094
Angelique,S04,37,Fz,0.8967,0.22656
Angelique,S04,38,F2,1.4659,0.07031
Angelique,S04,39,F4,1.0736,0.16406
