subject,dataset,modality,n_seq,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label,feature,level
S23,Angelique,NumWoGE,12,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.5,-0.1,0.6347,1.0,0.6667,0.5,0.4934,-0.0645,SNR_occ,modality
S24,Angelique,Dig,12,0.5833,-0.0665,0.6332,1.0,0.5,0.5139,0.5833,-0.0665,0.6332,1.0,0.5,0.5139,0.3707,-0.0413,SNR_occ,modality
S24,Angelique,NumWoGE,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.634,1.0,0.5,0.5139,0.4126,-0.0874,SNR_occ,modality
S25,Angelique,Dig,12,0.5833,-0.0665,0.6656,1.0,0.8333,0.5139,0.5,-0.0879,0.6346,1.0,1.0,0.5556,0.4014,0.0045,SNR_occ,modality
S25,Angelique,NumWoGE,12,0.5,-0.1,0.5,1.0,0.0,0.5,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.3811,-0.0619,SNR_occ,modality
S26,Angelique,Dig,12,0.5833,-0.0665,0.6343,1.0,0.5,0.5139,0.5833,-0.0665,0.6675,1.0,0.8333,0.5139,0.533,-0.0925,SNR_occ,modality
S26,Angelique,NumWoGE,12,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.4667,-0.0116,SNR_occ,modality
S27,Angelique,Dig,12,0.5,-0.0879,0.5673,1.0,0.3333,0.5556,0.5,-0.1,0.5,1.0,0.0,0.5,0.4698,-0.0458,SNR_occ,modality
S27,Angelique,NumWoGE,12,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.5025,-0.0396,SNR_occ,modality
S28,Angelique,Dig,12,0.5,-0.0879,0.6342,1.0,0.6667,0.5556,0.5,-0.0879,0.6342,1.0,0.6667,0.5556,0.4454,-0.064,SNR_occ,modality
S28,Angelique,NumWoGE,12,0.75,0.1951,0.65,0.4004,0.8333,0.625,0.6667,0.0222,0.5994,0.5963,0.3333,0.5,0.3692,0.0431,SNR_occ,modality
S29,Angelique,Dig,12,0.6667,0.033,0.6333,0.6976,0.6667,0.5556,0.5833,-0.0665,0.6332,1.0,0.5,0.5139,0.3583,0.0286,SNR_occ,modality
S29,Angelique,NumWoGE,12,0.5,-0.0879,0.6348,1.0,1.0,0.5556,0.5,-0.0879,0.6348,1.0,1.0,0.5556,0.4972,-0.0711,SNR_occ,modality
S31,Angelique,Dig,12,0.6667,0.033,0.6333,0.7005,0.6667,0.5556,0.5833,-0.0665,0.633,1.0,0.5,0.5139,0.3302,0.102,SNR_occ,modality
S31,Angelique,NumWoGE,12,0.6667,0.033,0.5668,0.4009,0.3333,0.5556,0.5833,-0.0665,0.6338,1.0,0.5,0.5139,0.4124,-0.0394,SNR_occ,modality
S32,Angelique,Dig,12,0.6667,0.033,0.6327,0.696,0.6667,0.5556,0.5833,-0.0665,0.6337,1.0,0.5,0.5139,0.2811,-0.0614,SNR_occ,modality
S32,Angelique,NumWoGE,12,0.5,-0.0879,0.5665,1.0,0.3333,0.5556,0.5,-0.1,0.6013,1.0,0.3333,0.5,0.4611,-0.0404,SNR_occ,modality
S33,Angelique,Dig,12,0.6667,0.0222,0.6341,0.6029,0.6667,0.5,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.3868,-0.0564,SNR_occ,modality
S33,Angelique,NumWoGE,12,0.5833,-0.0665,0.6673,1.0,0.8333,0.5139,0.6667,0.0222,0.7007,1.0,1.0,0.5,0.5351,-0.0757,SNR_occ,modality
S34,Angelique,Dig,12,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.5,-0.1,0.6344,1.0,0.6667,0.5,0.418,-0.0365,SNR_occ,modality
S34,Angelique,NumWoGE,12,0.6667,0.0222,0.6342,0.6029,0.6667,0.5,0.6667,0.033,0.6338,0.6996,0.6667,0.5556,0.5139,-0.0339,SNR_occ,modality
S35,Angelique,Dig,12,0.75,0.1773,0.6334,0.3005,0.5,0.5139,0.8333,0.3889,0.6337,0.2012,0.6667,0.5,0.5324,0.1566,SNR_occ,modality
S35,Angelique,NumWoGE,12,0.75,0.1773,0.6322,0.2933,0.5,0.5139,0.75,0.1773,0.6322,0.2933,0.5,0.5139,0.5386,0.1414,SNR_occ,modality
S37,Angelique,Dig,12,0.6667,0.0222,0.6334,0.6008,0.6667,0.5,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.344,-0.0491,SNR_occ,modality
S37,Angelique,NumWoGE,12,0.5,-0.1,0.5999,1.0,0.3333,0.5,0.5,-0.0879,0.6329,1.0,0.6667,0.5556,0.5607,-0.0968,SNR_occ,modality
S38,Angelique,Dig,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5836,0.0031,SNR_occ,modality
S38,Angelique,NumWoGE,12,0.6667,0.0222,0.6323,0.5973,0.6667,0.5,0.5833,-0.0665,0.667,1.0,0.8333,0.5139,0.4126,-0.0618,SNR_occ,modality
S01,Talia,Dig,24,0.5,-0.0248,0.5721,1.0,0.75,0.5833,0.5,-0.0248,0.5721,1.0,0.75,0.5833,0.6831,-0.0528,SNR_occ,modality
S02,Talia,Dig,24,0.5,-0.0441,0.6222,1.0,0.75,0.2708,0.5833,-0.0164,0.6296,0.7457,0.75,0.25,0.3944,-0.0419,SNR_occ,modality
S03,Talia,Dig,24,0.5,-0.0337,0.6077,1.0,1.0,0.4375,0.5,-0.0337,0.6077,1.0,1.0,0.4375,0.5677,-0.014,SNR_occ,modality
S04,Talia,Dig,24,0.5417,-0.0224,0.6134,1.0,0.75,0.5052,0.5833,-0.0151,0.5646,0.658,0.125,0.2708,0.3461,-0.0463,SNR_occ,modality
S05,Talia,Dig,24,0.5,-0.0402,0.6153,1.0,0.625,0.3333,0.5417,-0.0353,0.6112,1.0,0.5,0.2969,0.5021,-0.0432,SNR_occ,modality
S06,Talia,Dig,24,0.5833,-0.0164,0.6091,0.7405,0.5,0.25,0.5833,-0.0164,0.6091,0.7405,0.5,0.25,0.4828,-0.0218,SNR_occ,modality
S07,Talia,Dig,24,0.625,0.0276,0.6107,0.5434,0.625,0.3802,0.6667,0.0719,0.5984,0.3151,0.375,0.2708,0.4243,0.0637,SNR_occ,modality
S08,Talia,Dig,24,0.5417,-0.0379,0.5532,1.0,0.0,0.2552,0.5833,-0.0164,0.5867,0.7171,0.25,0.25,0.361,-0.0386,SNR_occ,modality
S09,Talia,Dig,24,0.5417,-0.0353,0.618,1.0,0.625,0.2969,0.5417,-0.0353,0.6106,1.0,0.5,0.2969,0.4098,-0.0554,SNR_occ,modality
S10,Talia,Dig,23,0.5217,-0.0447,0.6296,1.0,0.75,0.2935,0.6087,0.0021,0.6405,0.7433,0.75,0.2826,0.5386,-0.0283,SNR_occ,modality
S11,Talia,Dig,24,0.5,-0.0441,0.623,1.0,0.75,0.2708,0.5417,-0.0379,0.6259,1.0,0.625,0.2552,0.4045,-0.0507,SNR_occ,modality
S12,Talia,Dig,24,0.5417,-0.0379,0.6157,1.0,0.5,0.2552,0.5417,-0.0379,0.6037,1.0,0.375,0.2552,0.3708,-0.0243,SNR_occ,modality
S13,Talia,Dig,24,0.5,-0.0455,0.63,1.0,1.0,0.25,0.5417,-0.0379,0.6408,1.0,0.875,0.2552,0.4141,-0.0195,SNR_occ,modality
S14,Talia,Dig,24,0.5417,-0.0353,0.583,1.0,0.25,0.2969,0.5833,-0.0164,0.6016,0.7776,0.375,0.25,0.3215,-0.0298,SNR_occ,modality
S15,Talia,Dig,24,0.5417,-0.0353,0.5968,1.0,0.375,0.2969,0.5417,-0.0353,0.5968,1.0,0.375,0.2969,0.4727,-0.0496,SNR_occ,modality
