dataset,subject,elec_idx,elec,z,p
Angelique,S03,56,t56,0.7063,0.27344
Angelique,S03,57,t57,0.8133,0.22656
Angelique,S03,58,t58,0.9798,0.22656
Angelique,S03,59,t59,1.0906,0.16406
Angelique,S03,60,t60,0.9942,0.16406
Angelique,S03,61,t61,0.5148,0.27344
Angelique,S03,62,t62,-0.0515,0.50781
Angelique,S03,63,t63,-0.2371,0.52344
Angelique,S04,0,t00,-1.0784,0.78906
Angelique,S04,1,t01,-1.542,0.92969
Angelique,S04,2,t02,-1.4781,0.91406
Angelique,S04,3,t03,-1.1613,0.85156
Angelique,S04,4,t04,-0.6663,0.67969
Angelique,S04,5,t05,-0.1256,0.57031
Angelique,S04,6,t06,0.1265,0.44531
Angelique,S04,7,t07,-0.1067,0.53906
Angelique,S04,8,t08,-0.8425,0.72656
Angelique,S04,9,t09,-1.6987,0.94531
Angelique,S04,10,t10,-1.5741,0.94531
Angelique,S04,11,t11,-1.3424,0.89844
Angelique,S04,12,t12,-0.4597,0.66406
Angelique,S04,13,t13,0.4655,0.32031
Angelique,S04,14,t14,0.5824,0.25781
Angelique,S04,15,t15,0.3762,0.35156
Angelique,S04,16,t16,-0.4355,0.66406
Angelique,S04,17,t17,0.0584,0.49219
Angelique,S04,18,t18,0.8621,0.21094
Angelique,S04,19,t19,0.9294,0.19531
Angelique,S04,20,t20,0.9896,0.17969
Angelique,S04,21,t21,1.1142,0.19531
Angelique,S04,22,t22,0.0928,0.46094
Angelique,S04,23,t23,-1.0687,0.86719
Angelique,S04,24,t24,-1.2068,0.86719
Angelique,S04,25,t25,-0.3658,0.67969
Angelique,S04,26,t26,0.5214,0.30469
Angelique,S04,27,t27,0.6341,0.32031
Angelique,S04,28,t28,0.0567,0.47656
Angelique,S04,29,t29,-0.7708,0.78906
Angelique,S04,30,t30,-1.1522,0.86719
Angelique,S04,31,t31,-1.045,0.82031
Angelique,S04,32,t32,-0.3957,0.64844
Angelique,S04,33,t33,0.2902,0.39844
Angelique,S04,34,t34,0.9081,0.17969
Angelique,S04,35,t35,1.6064,0.07031
Angelique,S04,36,t36,1.4778,0.08594
Angelique,S04,37,t37,0.536,0.28906
Angelique,S04,38,t38,0.3837,0.39844
Angelique,S04,39,t39,0.8041,0.22656
Angelique,S04,40,t40,1.1099,0.13281
Angelique,S04,41,t41,1.1331,0.11719
Angelique,S04,42,t42,1.6934,0.05469
Angelique,S04,43,t43,2.3516,0.00781
Angelique,S04,44,t44,2.1964,0.00781
Angelique,S04,45,t45,1.5647,0.05469
Angelique,S04,46,t46,2.2077,0.00781
Angelique,S04,47,t47,1.8344,0.02344
Angelique,S04,48,t48,0.8587,0.30469
Angelique,S04,49,t49,-0.0345,0.52344
Angelique,S04,50,t50,-0.0833,0.55469
Angelique,S04,51,t51,0.52,0.41406
Angelique,S04,52,t52,0.3352,0.44531
Angelique,S04,53,t53,-0.5815,0.71094
Angelique,S04,54,t54,-2.1608,0.99219
Angelique,S04,55,t55,-1.6785,0.96094
Angelique,S04,56,t56,-0.2724,0.58594
Angelique,S04,57,t57,0.4264,0.36719
Angelique,S04,58,t58,0.1273,0.42969
Angelique,S04,59,t59,-1.5725,0.94531
Angelique,S04,60,t60,-1.8368,0.97656
Angelique,S04,61,t61,-0.5921,0.71094
Angelique,S04,62,t62,-0.2955,0.58594
Angelique,S04,63,t63,-0.4687,0.64844
Angelique,S05,0,t00,-1.8135,0.96094
Angelique,S05,1,t01,-1.9083,0.97656
Angelique,S05,2,t02,-1.9138,0.97656
Angelique,S05,3,t03,-1.8097,0.97656
Angelique,S05,4,t04,-1.7571,0.96094
Angelique,S05,5,t05,-1.7031,0.94531
Angelique,S05,6,t06,-1.6541,0.99219
Angelique,S05,7,t07,-1.7092,0.99219
Angelique,S05,8,t08,-1.8228,0.99219
Angelique,S05,9,t09,-1.8876,0.97656
Angelique,S05,10,t10,-1.8665,0.97656
Angelique,S05,11,t11,-1.7964,0.97656
Angelique,S05,12,t12,-1.6941,0.94531
Angelique,S05,13,t13,-1.6799,0.96094
Angelique,S05,14,t14,-1.8276,0.96094
Angelique,S05,15,t15,-1.7813,0.96094
Angelique,S05,16,t16,-1.4633,0.92969
Angelique,S05,17,t17,-1.2279,0.86719
Angelique,S05,18,t18,-1.2887,0.88281
Angelique,S05,19,t19,-1.4071,0.91406
Angelique,S05,20,t20,-1.4979,0.91406
Angelique,S05,21,t21,-1.5451,0.96094
