dataset,subject,elec_idx,elec,z,p
Angelique,S03,48,C2,-1.9324,0.97656
Angelique,S03,49,C4,-1.727,0.96094
Angelique,S03,50,C6,0.7615,0.24219
Angelique,S03,51,T8,0.8114,0.21094
Angelique,S03,52,TP8,0.3548,0.38281
Angelique,S03,53,CP6,1.3855,0.11719
Angelique,S03,54,CP4,1.2419,0.10156
Angelique,S03,55,CP2,-0.5977,0.71094
Angelique,S03,56,P2,-1.2915,0.86719
Angelique,S03,57,P4,0.6208,0.30469
Angelique,S03,58,P6,-1.1963,0.86719
Angelique,S03,59,P8,2.1387,0.00781
Angelique,S03,60,P10,1.6931,0.03906
Angelique,S03,61,PO8,1.8493,0.03906
Angelique,S03,62,PO4,-0.0008,0.50781
Angelique,S03,63,O2,1.7775,0.02344
Angelique,S03,64,PO9,1.6899,0.03906
Angelique,S03,65,I1,-1.1038,0.85156
Angelique,S03,66,I2,-0.3242,0.61719
Angelique,S03,67,PO10,0.9253,0.19531
Angelique,S04,0,Fp1,-2.2642,0.99219
Angelique,S04,1,AF7,-2.3023,0.99219
Angelique,S04,2,AF3,-2.0298,0.97656
Angelique,S04,3,F1,-2.1308,0.99219
Angelique,S04,4,F3,-1.7686,0.94531
Angelique,S04,5,F5,-1.0786,0.83594
Angelique,S04,6,F7,-0.671,0.72656
Angelique,S04,7,FT7,-1.6234,0.92969
Angelique,S04,8,FC5,0.8007,0.22656
Angelique,S04,9,FC3,-0.0156,0.50781
Angelique,S04,10,FC1,-0.2297,0.60156
Angelique,S04,11,C1,-1.0058,0.78906
Angelique,S04,12,C3,0.1099,0.46094
Angelique,S04,13,C5,-0.479,0.66406
Angelique,S04,14,T7,-0.9111,0.83594
Angelique,S04,15,TP7,-1.9483,0.97656
Angelique,S04,16,CP5,-1.5883,0.94531
Angelique,S04,17,CP3,-1.2759,0.91406
Angelique,S04,18,CP1,-1.804,0.96094
Angelique,S04,19,P1,-1.8096,0.97656
Angelique,S04,20,P3,-1.0192,0.85156
Angelique,S04,21,P5,-0.3591,0.60156
Angelique,S04,22,P7,-1.9843,0.99219
Angelique,S04,23,P9,-2.1853,0.99219
Angelique,S04,24,PO7,-1.7624,0.97656
Angelique,S04,25,PO3,-1.8108,0.96094
Angelique,S04,26,O1,-1.5096,0.92969
Angelique,S04,27,Iz,-1.4993,0.92969
Angelique,S04,28,Oz,-1.1988,0.86719
Angelique,S04,29,POz,-0.7461,0.75781
Angelique,S04,30,Pz,-1.8085,0.96094
Angelique,S04,31,CPz,-2.1627,0.99219
Angelique,S04,32,Fpz,-2.3437,0.99219
Angelique,S04,33,Fp2,-2.3343,0.99219
Angelique,S04,34,AF8,-2.3613,0.99219
Angelique,S04,35,AF4,-2.3139,0.99219
Angelique,S04,36,AFz,-2.2822,0.99219
Angelique,S04,37,Fz,-2.189,0.99219
Angelique,S04,38,F2,-2.0822,0.99219
Angelique,S04,39,F4,-1.7043,0.96094
Angelique,S04,40,F6,-2.0914,0.97656
Angelique,S04,41,F8,0.59,0.30469
Angelique,S04,42,FT8,-0.1951,0.60156
Angelique,S04,43,FC6,-0.1651,0.57031
Angelique,S04,44,FC4,-1.1269,0.83594
Angelique,S04,45,FC2,-0.9156,0.80469
Angelique,S04,46,FCz,-1.4212,0.89844
Angelique,S04,47,Cz,-1.6535,0.96094
Angelique,S04,48,C2,-1.09,0.85156
Angelique,S04,49,C4,-1.4631,0.89844
Angelique,S04,50,C6,-0.3257,0.60156
Angelique,S04,51,T8,0.4022,0.35156
Angelique,S04,52,TP8,0.8711,0.17969
Angelique,S04,53,CP6,-0.3771,0.63281
Angelique,S04,54,CP4,-1.6812,0.96094
Angelique,S04,55,CP2,-2.0359,0.99219
Angelique,S04,56,P2,-2.1367,0.99219
Angelique,S04,57,P4,-1.9581,0.97656
Angelique,S04,58,P6,-1.8478,0.97656
Angelique,S04,59,P8,-0.7615,0.75781
Angelique,S04,60,P10,-1.9805,0.99219
Angelique,S04,61,PO8,-1.9259,0.99219
Angelique,S04,62,PO4,-2.2595,0.99219
Angelique,S04,63,O2,-0.9273,0.83594
Angelique,S04,64,PO9,-1.82,0.97656
Angelique,S04,65,I1,-1.5521,0.96094
Angelique,S04,66,I2,-1.4476,0.91406
Angelique,S04,67,PO10,-1.6034,0.99219
Angelique,S05,0,Fp1,-0.663,0.60156
Angelique,S05,1,AF7,-0.756,0.72656
Angelique,S05,2,AF3,-0.0835,0.52344
Angelique,S05,3,F1,-1.5134,0.92969
Angelique,S05,4,F3,-1.973,0.99219
Angelique,S05,5,F5,-1.0425,0.78906
Angelique,S05,6,F7,-0.3255,0.60156
Angelique,S05,7,FT7,-0.2865,0.60156
Angelique,S05,8,FC5,-1.2269,0.86719
Angelique,S05,9,FC3,0.4944,0.28906
Angelique,S05,10,FC1,-0.4557,0.64844
Angelique,S05,11,C1,0.229,0.41406
Angelique,S05,12,C3,1.2903,0.07031
Angelique,S05,13,C5,-0.0862,0.53906
Angelique,S05,14,T7,-0.2641,0.60156
Angelique,S05,15,TP7,-0.5569,0.66406
Angelique,S05,16,CP5,0.0395,0.44531
Angelique,S05,17,CP3,1.6911,0.03906
Angelique,S05,18,CP1,1.4541,0.10156
Angelique,S05,19,P1,0.6341,0.27344
Angelique,S05,20,P3,0.5083,0.28906
Angelique,S05,21,P5,0.8113,0.19531
Angelique,S05,22,P7,0.7452,0.24219
Angelique,S05,23,P9,0.4343,0.36719
Angelique,S05,24,PO7,0.282,0.42969
Angelique,S05,25,PO3,-1.4717,0.92969
Angelique,S05,26,O1,-0.4057,0.63281
Angelique,S05,27,Iz,-0.9474,0.80469
Angelique,S05,28,Oz,-1.988,0.97656
Angelique,S05,29,POz,-2.3076,0.99219
Angelique,S05,30,Pz,-1.784,0.97656
Angelique,S05,31,CPz,0.3381,0.36719
Angelique,S05,32,Fpz,-1.1878,0.89844
Angelique,S05,33,Fp2,-1.1978,0.88281
Angelique,S05,34,AF8,0.0761,0.46094
Angelique,S05,35,AF4,-0.8767,0.80469
Angelique,S05,36,AFz,-1.3092,0.89844
Angelique,S05,37,Fz,-1.3368,0.89844
Angelique,S05,38,F2,-0.4208,0.60156
Angelique,S05,39,F4,-0.1574,0.57031
Angelique,S05,40,F6,0.7356,0.25781
Angelique,S05,41,F8,0.1069,0.42969
Angelique,S05,42,FT8,0.5231,0.33594
Angelique,S05,43,FC6,-1.0956,0.83594
Angelique,S05,44,FC4,1.2616,0.07031
Angelique,S05,45,FC2,0.0181,0.47656
Angelique,S05,46,FCz,-0.6122,0.72656
Angelique,S05,47,Cz,0.1947,0.28906
Angelique,S05,48,C2,0.5605,0.38281
Angelique,S05,49,C4,0.3761,0.36719
Angelique,S05,50,C6,0.9167,0.19531
Angelique,S05,51,T8,0.193,0.49219
Angelique,S05,52,TP8,0.5023,0.30469
Angelique,S05,53,CP6,1.3477,0.11719
Angelique,S05,54,CP4,0.8906,0.24219
Angelique,S05,55,CP2,1.3012,0.10156
