dataset,subject,measure,z,p,n_assignments
Angelique,S29,ress_sym,0.8766511852981157,0.2734375,64
Angelique,S29,roi_disc,-1.274750751223851,0.9296875,64
Angelique,S29,roi_sym,1.1118017800314894,0.1953125,64
Angelique,S31,ress_disc,-0.3837809965870707,0.6171875,64
Angelique,S31,ress_sym,-0.6724358809872149,0.7109375,64
Angelique,S31,roi_disc,0.45338004588391834,0.4140625,64
Angelique,S31,roi_sym,1.4991912452960001,0.0546875,64
Angelique,S32,ress_disc,-1.1618080386474556,0.8671875,64
Angelique,S32,ress_sym,-0.5549300808537314,0.6796875,64
Angelique,S32,roi_disc,0.8520434154752732,0.2109375,64
Angelique,S32,roi_sym,-1.733153324227398,0.9609375,64
Angelique,S33,ress_disc,-0.7446121531919164,0.7265625,64
Angelique,S33,ress_sym,-0.8090778413794258,0.7734375,64
Angelique,S33,roi_disc,-1.1665272998894716,0.8671875,64
Angelique,S33,roi_sym,1.1948831284418324,0.1484375,64
Angelique,S34,ress_disc,-1.634868037866333,0.9921875,64
Angelique,S34,ress_sym,0.8652992455243165,0.2109375,64
Angelique,S34,roi_disc,0.6969755478497343,0.2890625,64
Angelique,S34,roi_sym,1.14127636923607,0.1640625,64
Angelique,S35,ress_disc,-1.0559355339110175,0.7890625,64
Angelique,S35,ress_sym,-0.6556097254564195,0.7265625,64
Angelique,S35,roi_disc,0.2710622628574981,0.4453125,64
Angelique,S35,roi_sym,-1.9723877559080665,0.9765625,64
Angelique,S37,ress_disc,0.953814892510438,0.1953125,64
Angelique,S37,ress_sym,-0.11142933915056881,0.5546875,64
Angelique,S37,roi_disc,-0.039293545928828846,0.5078125,64
Angelique,S37,roi_sym,0.0958318428921774,0.4453125,64
Angelique,S38,ress_disc,-0.799350473298123,0.7578125,64
Angelique,S38,ress_sym,0.03304773338977596,0.4609375,64
Angelique,S38,roi_disc,0.2395201706905126,0.4609375,64
Angelique,S38,roi_sym,0.5069358783399099,0.3046875,64
Talia,S01,ress_disc,1.3089695941405637,0.09375,16
Talia,S01,ress_sym,-0.759013276124977,0.71875,16
Talia,S01,roi_disc,0.4144786947393489,0.34375,16
Talia,S01,roi_sym,0.4560516018745778,0.40625,16
Talia,S02,ress_disc,0.9894044416222363,0.15625,16
Talia,S02,ress_sym,1.0653328901193047,0.15625,16
Talia,S02,roi_disc,-0.29500699254366675,0.59375,16
Talia,S02,roi_sym,-0.6372310466259468,0.71875,16
Talia,S03,ress_disc,1.6858063094886058,0.03125,16
Talia,S03,ress_sym,0.8341530632311229,0.15625,16
Talia,S03,roi_disc,1.3536529105417274,0.15625,16
Talia,S03,roi_sym,0.11904432614805315,0.46875,16
Talia,S04,ress_disc,0.35012887547237065,0.34375,16
Talia,S04,ress_sym,-1.0905280739543775,0.84375,16
Talia,S04,roi_disc,-1.0547331395728383,0.84375,16
Talia,S04,roi_sym,-0.25107787061346,0.53125,16
Talia,S05,ress_disc,0.5731274402600539,0.40625,16
Talia,S05,ress_sym,0.21258767356836153,0.46875,16
Talia,S05,roi_disc,-0.08679066422741939,0.53125,16
Talia,S05,roi_sym,0.3626666543697342,0.40625,16
Talia,S06,ress_disc,-0.15839765506418998,0.53125,16
Talia,S06,ress_sym,-0.30820568651000513,0.65625,16
Talia,S06,roi_disc,-1.8267033581374963,0.96875,16
Talia,S06,roi_sym,-1.041409890090891,0.84375,16
Talia,S07,ress_disc,0.8125138787385212,0.28125,16
