dataset,subject,block_id,Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2,PO9,I1,I2,PO10
Angelique,S02,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-3.805649546120455,-9.416801657187182,2.2792834730232605,6.445680989110039,9.559756094920951,5.284121862669213,6.529056469069624,-2.9011796742950806,3.367521675985274,1.7147040752053033,3.3429106871961656,-1.7638835645402142,-1.7264635489627311,2.8643773010243883,5.857581722086496,-3.050469602737519,-4.07085634780563,-0.8488683098680181,-0.0268901638428701,1.6339682442231502,-4.379497187730097,-6.290626041703695,-13.569098738052656,-23.432279401870286,-24.600674493240554,-8.119282422333624,-29.422520440922217,-9.776896549284816,-6.5469166908517105,0.5416781828252902,1.6311305943066958,4.770309826246401,-4.653603915634206,-8.23902872822825,-6.64091857981052,0.8217292813783278,1.7029029292731859,4.368354936439632,0.056833293929153275,-1.5515553359846126,-3.5384942286292067,-13.166295607431044,-1.7230418791175912,-2.5150175099156296,-1.0518261107592213,2.1096966623474738,5.951425974400699,3.793399689555541,4.150489712167951,7.997548591400163,-1.7204612207072627,4.377758820673001,7.646063271536429,8.383550388862881,5.117939924214474,5.110314289185218,7.34870091887691,4.1187745453877875,10.515107443979545,17.325240745580754,28.976305748422078,21.172803264841274,3.881929568109455,-6.93022864877382,-37.27235483615233,-29.103817503650557,18.655945390026545,42.450596908684375
Angelique,S02,epbin_Dig_1F_Par 11 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-6.699121889504891,-21.61288706456806,4.541527582507463,-4.602276354680954,1.1027180084339667,4.307204846492594,4.150770124437177,11.339065434828347,5.80893036897013,-1.5380014282518235,-6.3235113025814425,-3.289909452759082,-3.1148478326577314,3.1838775765096554,13.937171267056549,9.354778247261335,7.082882218865251,1.3280133321650762,-0.6984405269240717,1.5242789478366698,4.858573988728302,7.4584090164629115,5.508259787180156,-2.9212114118426897,1.5132713081128284,5.63333596912431,-6.874894084230972,-8.500292121178678,-3.5863298298930197,2.0731617851497086,0.19506140347806666,-0.5053581607525992,-14.634453319313097,-22.222033943258293,-21.72678029047092,-7.860124745658257,-7.191768519205382,-6.044475815070005,-9.642156304903072,-10.77203505169901,-9.302791800962531,-21.94880840303135,-9.118426697182638,-8.360327045800329,-9.291736802421926,-7.6217251940149,-4.478097426030927,-7.220606778782381,-6.112615100090099,-2.153679608019459,-7.536875603879938,-1.226113315051049,4.5510710847232145,5.067661114505335,0.5952194536187381,-1.7664094675641802,2.5943926088545406,2.9691876129299315,11.488110048687956,19.8872944519785,30.4834725421235,28.469337857930057,5.831074179814248,2.967270819916302,-10.10995164646156,-11.977751992303173,24.856452524516538,53.9249856832604
Angelique,S02,epbin_Dig_20F_Atp_C1 23 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-7.085494468121119,13.431743145055268,-6.622742752171522,4.837984590175305,4.782091724161227,-1.3308159206011563,1.7810340116655363,-1.79706387711427,-4.609980174195476,7.817362321658718,13.455229746406784,12.098597013873869,9.924077718747016,-0.9979201807976543,-11.62118625785426,-8.930621025997604,-1.1342898951148135,6.960270513144765,10.773586987528121,5.983641543591852,0.3879142827935465,-2.4999819911440904,-5.431310702207803,-6.392803761693914,-3.078546248326829,-5.6081188641399615,5.433558991262953,-6.748524875695799,-4.042025689210296,-0.2602950136360935,7.345869790529851,10.582088619170102,5.262162980334342,11.61372254541093,8.422465311301893,2.8267279006521324,7.203678959318185,10.173137667707913,10.651907899329384,13.905275252967355,5.696477924397856,10.273938511668312,-1.0662757831727072,3.372753527878089,9.786078082060438,12.892175232998637,12.777617378083805,16.631505341411096,13.412885879393238,6.015241585674223,6.906843135449788,-2.777888473827172,-5.702544180800963,-1.5938268038178327,4.13462112688587,9.774175226230177,5.003906542483179,-0.014149954249124165,-9.411826299193898,-23.99784355289023,-33.126202606945334,-29.484687463471978,-4.405131881640433,-10.976098811608688,2.11478094926452,-2.560266018408723,-39.102765452221156,-62.03586776911775
Angelique,S02,epbin_Dig_20F_Atp_Par 13 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-17.084459503423684,3.49135309390738,-10.112544039138598,2.8494418581953505,10.474833214852113,-9.332427665035825,0.27089803733994916,-11.297516532469757,-10.379195412979687,2.5490524059682707,15.379084476720678,9.927477160864415,1.5918180101636394,-8.828359291564752,-16.32386942790535,-21.260077389422147,-20.731514772787897,3.3075090572123167,10.710643662494997,9.162589486515385,-8.239517983636178,-15.24159022957413,-32.37226433023835,-46.12332109421883,-38.17281422439077,-17.034635515904544,-30.805319401576106,-21.467887746812824,-10.946699246338705,5.9488482021130125,12.181957414355907,16.90037264482021,0.9662218311578832,2.717562198887102,-2.3082549802788446,1.6791900286239696,9.962736999996931,11.738370930605377,9.686511540304108,13.20406946355195,6.466942063277003,-3.79957006219722,-2.4395939644410416,2.642250894595952,11.084609288945638,17.018625554274937,22.18358857790829,22.229537369101273,21.803650051299236,18.667155914238307,14.80441857201745,7.1354352515090955,12.168248733039755,18.05071704347779,15.887479552668891,18.140626500158355,22.556875200762917,12.505175137826994,16.190358716322347,12.065269146379539,11.734961120956996,16.933549033237895,9.251282107749457,-10.87432109135564,-51.681111431336696,-50.36949796934542,-7.236079377571239,10.241158361065063
Angelique,S02,epbin_Dig_20F_Std_C1 22 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-3.002920575982524,-15.131248990402565,6.886619611454493,-3.6742677557709675,-0.07967880981097669,-1.0106188775560192,-3.9068568574813374,-1.8331764207540502,1.0048627949077873,-4.43384498580369,-9.05235468872224,-6.6539126613418516,-6.392488126295645,2.815557260405421,8.037844594192512,4.654154639367461,0.3494223211793291,-3.4461087909559933,-4.83035482740706,-1.4245622692766935,0.3062309542413241,2.4372424481665527,-1.9656445327382506,-4.53406911660202,-4.199049998160717,2.6064129075397107,-13.692235450360114,1.9870674880164274,2.719407685909865,2.3604597132440137,-3.020706019218434,-4.463508310601488,-6.15430671941141,-10.610673031379575,-11.544546162209349,-2.43707739768489,-3.85490093941992,-4.263516203073334,-6.935763782250682,-13.526198546108239,-2.7700669388473464,-10.990976571309938,-1.1404298999601674,-5.5650084933804695,-8.165574481788735,-6.90834004580366,-4.92029350903424,-8.583378604101012,-6.6277715580804895,-1.78074992741997,-7.931115698026692,1.8884551004188925,6.783542454341887,4.324483803387191,-0.4550514239179997,-2.374467680971506,1.5292780294686024,1.552707794528616,10.45331930936249,23.69398529306329,32.89141430214995,28.4581548064442,7.18323952746748,7.013704677473313,-15.497500742278225,-13.965850130726825,33.39713245231416,58.41644514025669
Angelique,S02,epbin_Dig_20F_Std_Par 12 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-2.6435809955532976,18.963010497684046,-4.810400404700281,4.374026360607606,2.5856342715501426,-2.030771884312338,0.022565401804691385,-10.728569496906928,-6.304535443852981,3.4794403499785984,10.62837862397055,7.73920570523356,5.605906659491697,-7.073453172220959,-19.021554837574286,-14.393105818980107,-10.236673901786752,3.2204075627676945,7.246801460248066,5.283063590723723,-4.074090299719395,-9.501735831662023,-12.53045784252347,-11.985764609046617,-12.630783674767397,-12.685589305139285,-2.9589669073213005,-2.4493705498838843,0.4462839733975246,2.050580621904372,6.621438451650005,9.366731154381451,10.514919969126126,15.431367914993565,12.37324054914949,4.40435130196609,9.20330636926192,10.125885746883755,11.722237534437678,17.825986885532217,3.7800560817645796,15.70514390037729,-2.949918386353245,5.958082214175662,11.509046941854708,12.495313874162829,12.791093147891855,16.577989884011604,13.449868495277691,7.431413372937558,9.27898841324644,1.886370847637971,-1.5301649018517216,0.6079626476925246,6.498435001819625,9.014210950266808,8.546586902391875,3.240513530465818,-4.317167811163493,-17.979413715803897,-26.624108920772088,-21.731462131327156,-0.6549068825370987,-2.938883437503715,-4.902932593142339,-6.832248866284397,-30.08373202620953,-51.40148003280191
Angelique,S02,epbin_NumWoGE_1F_C1 24 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-12.619612735737771,-14.330996267614204,0.17573161123004769,7.495764801100054,3.867995170699478,-6.368647778494996,-3.7426993557998527,-10.7568516679133,-2.9396288564248487,-2.0402394279169744,1.4282100304533034,-1.1343379146321664,-4.825748380889663,-4.334769842821469,2.588632930103771,-6.46062814256498,-5.398808543093287,-1.6803301858128055,0.09612101326576476,1.3961236734888827,-2.5149941948469254,-4.309667497935731,-11.775120541493079,-24.876615536908623,-12.546135382417328,0.626504537511669,-14.838271127909646,-0.8590433866071189,4.0727426815140895,5.568129297258274,2.3326233675741017,3.476102429590024,-11.808744212796839,-15.798068183706818,-16.883765343485283,-3.2222553159782685,-2.4585982990659727,1.9391531614327828,-3.5488437738864964,-8.400290888802052,-3.36914269515527,-22.03266840813265,-7.770853687697052,-6.433644686036077,-3.3003018400642476,0.6470906304703312,6.006391781544484,-0.08816050834420439,3.531918482112225,7.536957163428229,-2.346739259493909,3.314235190418553,8.276079288405729,9.678586276163696,6.698260615813653,5.6657141755919564,11.345443512053336,7.723125224137691,15.566775774772559,27.30075782315392,33.2202013561133,32.03249726654701,11.325864890462094,5.954490249959694,-29.379666817256794,-22.206671415314446,28.358959309014338,48.15438962052629
Angelique,S02,epbin_NumWoGE_1F_Par 14 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-11.148322938844569,12.154104975745081,-6.572672929786514,5.69423991682142,5.407035045292213,-5.6425377056564985,-3.668506686724823,-11.02052046157132,-7.301825480862522,7.983816852076849,17.274363177578607,14.685208890172062,9.191792044034642,-5.02717367097796,-19.18672765798555,-15.608417691049521,-4.566256918185506,7.956423555285173,13.787840801817563,12.692745141190853,1.6602234393987283,-3.0516044122404034,-8.738062781424922,-17.035312970211443,-2.6857754376508702,-4.658763693719649,10.529577774470047,-2.377857095473173,1.7565429762942513,5.1835316295139755,11.252862536676375,13.593192218333066,2.711466062125405,10.000027642377018,3.567286375110927,2.897754498832011,6.943115823715823,13.075424666762979,11.65495774681084,15.146700742533383,8.996478461517947,6.88038536855516,-6.649300874173167,2.1775403353903133,14.411123093895474,17.020748798306442,18.44423068888059,22.490044997197845,18.49092518548086,9.89827071308307,5.471176680834029,-4.336087705157482,-8.172628800778803,-1.1353194880251816,6.276144090443617,12.100742244984032,9.197887890407419,2.9246573141312293,-9.310728652800835,-25.01742719207668,-37.66574537681209,-29.310595172780125,-6.282545536550368,-11.382370530319252,-4.7841560144616615,-2.443514586888237,-37.23134463284134,-59.56848660323085
Angelique,S02,epbin_NumWoGE_20F_Atp_C1 26 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-17.49496647009866,10.058941294989244,-2.415153738229188,13.18865070248406,11.321800729266007,-2.7247677250346434,0.44089392227818436,-20.706132576442748,-3.609756716067392,7.230856878874153,19.738811351906364,13.55359045802954,6.075086350776277,-3.142279805224877,-10.134892950627597,-20.0343829373686,-18.702271598346726,7.021194798935584,12.924085499773199,12.459664581205795,-7.955305651944347,-14.368876629912805,-33.628284475075674,-46.88965176420188,-41.75826497838746,-19.280052985236367,-30.779601818028034,-15.385940553237209,-9.261123270170888,5.8150603537746335,12.089274495898911,19.273958850637687,3.461904333643102,3.471956391065331,-2.5604527761809157,2.2024991078813034,11.595509092096687,15.1953064181032,11.092203113044112,15.67355182274137,0.5471263240517886,-8.179258108306872,-5.578301355962766,-1.017841520510791,12.17323991773609,18.82330944234521,23.667961224352794,25.982211860842067,23.69060641460371,20.030811914127753,11.155319006690878,5.699965056792787,4.737095323496084,11.683515158096819,14.097621738987337,21.477874866233403,20.501112120564645,9.841880891824152,10.043236112321015,3.952799391599182,-0.2688204540898872,8.845378802078365,5.924853237821709,-8.656596466332209,-56.204098582096194,-50.013043577592164,-8.587426049636829,-7.42316733854115
Angelique,S02,epbin_NumWoGE_20F_Atp_Par 16 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,-20.524773687686263,-0.5493633094768826,-0.39069834984825086,4.8985408041435665,6.163311338430272,6.559924899980302,10.04127331391713,9.150925117711857,4.775591840013935,-0.34051771064171377,-5.008066554267575,-6.998779169180711,-5.04300960917254,3.18360693369512,11.034975641646533,3.2480391873202246,-0.12558102458437156,-3.613389344984552,-6.214933895613557,-3.2802273762548215,-5.572930417272668,-4.146827905688109,-7.756338811975728,-12.301959198365934,-20.176088072907802,-6.73718021828367,-29.04388436709427,-21.799983067625913,-13.382349660984126,-3.4634691607649426,-3.605147674446607,-0.8241948145412663,6.5412235818891755,2.4566647643276784,-0.13002488558179714,7.703893070905642,6.494566925452284,0.9978238765779995,-1.4358920422323107,-0.5483630594177562,3.229076615083379,-9.691276232599572,0.0829960359989072,-0.10889551206543069,-2.3216624865081457,-0.8986036397280652,-0.568228581715262,-4.506714951838607,-1.5330617674318154,4.213094425011584,-1.6785366944380884,3.4882680860310296,6.982851488627636,8.026299040390967,4.069717629250561,-0.6597245323302041,3.7638422929390796,2.975955172142074,11.254832229712775,21.19575390765428,28.215835508656706,23.31448576207527,4.35902059435785,1.8375911530196019,-26.52092916448878,-32.4602849797042,14.444021392108024,39.2578830105939
