dataset,subject,elec_idx,elec,z,p
Angelique,S03,56,t56,1.0791,0.17969
Angelique,S03,57,t57,1.0265,0.21094
Angelique,S03,58,t58,1.2346,0.16406
Angelique,S03,59,t59,1.3658,0.11719
Angelique,S03,60,t60,1.4437,0.08594
Angelique,S03,61,t61,1.4595,0.08594
Angelique,S03,62,t62,1.2598,0.14844
Angelique,S03,63,t63,1.294,0.11719
Angelique,S04,0,t00,0.5378,0.27344
Angelique,S04,1,t01,0.1092,0.46094
Angelique,S04,2,t02,0.0343,0.49219
Angelique,S04,3,t03,0.4718,0.33594
Angelique,S04,4,t04,1.2508,0.11719
Angelique,S04,5,t05,1.5578,0.07031
Angelique,S04,6,t06,1.1816,0.13281
Angelique,S04,7,t07,0.878,0.22656
Angelique,S04,8,t08,0.4515,0.33594
Angelique,S04,9,t09,0.4387,0.36719
Angelique,S04,10,t10,1.0236,0.16406
Angelique,S04,11,t11,1.1072,0.14844
Angelique,S04,12,t12,1.2639,0.10156
Angelique,S04,13,t13,1.5143,0.07031
Angelique,S04,14,t14,1.6418,0.03906
Angelique,S04,15,t15,1.1246,0.16406
Angelique,S04,16,t16,-0.1052,0.55469
Angelique,S04,17,t17,-0.7056,0.75781
Angelique,S04,18,t18,-0.1322,0.55469
Angelique,S04,19,t19,0.7867,0.28906
Angelique,S04,20,t20,1.6431,0.02344
Angelique,S04,21,t21,1.4877,0.07031
Angelique,S04,22,t22,1.5611,0.07031
Angelique,S04,23,t23,1.344,0.08594
Angelique,S04,24,t24,0.6512,0.28906
Angelique,S04,25,t25,-0.5076,0.69531
Angelique,S04,26,t26,-0.2549,0.60156
Angelique,S04,27,t27,0.7967,0.22656
Angelique,S04,28,t28,1.2727,0.11719
Angelique,S04,29,t29,0.7811,0.27344
Angelique,S04,30,t30,-0.1082,0.52344
Angelique,S04,31,t31,-0.7307,0.72656
Angelique,S04,32,t32,-0.6067,0.72656
Angelique,S04,33,t33,0.2601,0.39844
Angelique,S04,34,t34,0.8129,0.24219
Angelique,S04,35,t35,1.0869,0.21094
Angelique,S04,36,t36,1.2256,0.10156
Angelique,S04,37,t37,0.9766,0.17969
Angelique,S04,38,t38,0.6042,0.27344
Angelique,S04,39,t39,0.6098,0.28906
Angelique,S04,40,t40,1.0221,0.16406
Angelique,S04,41,t41,1.1376,0.10156
Angelique,S04,42,t42,0.6862,0.27344
Angelique,S04,43,t43,-0.0608,0.50781
Angelique,S04,44,t44,-0.3376,0.61719
Angelique,S04,45,t45,-0.2456,0.60156
Angelique,S04,46,t46,0.2093,0.46094
Angelique,S04,47,t47,0.7288,0.24219
Angelique,S04,48,t48,1.2,0.13281
Angelique,S04,49,t49,1.5394,0.07031
Angelique,S04,50,t50,1.6232,0.05469
Angelique,S04,51,t51,1.7624,0.03906
Angelique,S04,52,t52,2.0785,0.00781
Angelique,S04,53,t53,2.2311,0.00781
Angelique,S04,54,t54,1.8324,0.03906
Angelique,S04,55,t55,1.0201,0.17969
Angelique,S04,56,t56,1.1343,0.24219
Angelique,S04,57,t57,1.1894,0.16406
Angelique,S04,58,t58,0.5626,0.38281
Angelique,S04,59,t59,0.175,0.41406
Angelique,S04,60,t60,-0.0284,0.53906
Angelique,S04,61,t61,-0.3784,0.64844
Angelique,S04,62,t62,-0.5927,0.69531
Angelique,S04,63,t63,-0.0216,0.52344
Angelique,S05,0,t00,-1.0481,0.83594
Angelique,S05,1,t01,-1.3849,0.89844
Angelique,S05,2,t02,-1.602,0.97656
Angelique,S05,3,t03,-1.6768,0.97656
Angelique,S05,4,t04,-1.7268,0.94531
Angelique,S05,5,t05,-1.7534,0.96094
Angelique,S05,6,t06,-1.7373,0.96094
Angelique,S05,7,t07,-1.6956,0.92969
Angelique,S05,8,t08,-1.6215,0.92969
Angelique,S05,9,t09,-1.503,0.91406
Angelique,S05,10,t10,-1.3197,0.83594
Angelique,S05,11,t11,-1.0406,0.78906
Angelique,S05,12,t12,-0.6888,0.77344
Angelique,S05,13,t13,-0.4702,0.64844
Angelique,S05,14,t14,-0.5375,0.63281
Angelique,S05,15,t15,-0.6969,0.61719
Angelique,S05,16,t16,-0.7227,0.69531
Angelique,S05,17,t17,-0.6635,0.74219
Angelique,S05,18,t18,-0.6303,0.72656
Angelique,S05,19,t19,-0.6489,0.74219
Angelique,S05,20,t20,-0.686,0.75781
Angelique,S05,21,t21,-0.6668,0.72656
Angelique,S05,22,t22,-0.6291,0.71094
