dataset,subject,boost,tdca_z,tdca_p,loc_hit,loc_z
Angelique,S02,0.2082,-0.02366055271074273,0.546875,False,-0.4235359174367004
Angelique,S03,0.2082,0.3541642362251793,0.421875,False,1.3124763483995734
Angelique,S04,0.2082,0.6817864666341781,0.234375,True,1.756196690623126
Angelique,S05,0.2082,1.4859075977370613,0.078125,True,1.5997431159863125
Angelique,S07,0.2082,1.1465072636293818,0.203125,True,1.790541251190297
Angelique,S08,0.2082,0.39154634069340694,0.328125,True,1.734140636323215
Angelique,S09,0.2082,-0.22131093547187944,0.640625,False,0.27524335278275236
Angelique,S10,0.2082,1.970779885778627,0.015625,True,0.8279008006602812
Angelique,S11,0.2082,0.6053569352283615,0.234375,True,2.224883206740092
Angelique,S13,0.2082,1.9034624872518067,0.046875,True,2.355467198021482
Angelique,S15,0.2082,0.11420994755260407,0.296875,False,0.33843550297821845
Angelique,S16,0.2082,-1.071153675944725,0.890625,False,-0.22120637848930144
Angelique,S18,0.2082,1.1411578774600437,0.109375,True,1.4174430194085295
Angelique,S19,0.2082,2.501672897898732,0.015625,False,0.39312264273795877
Angelique,S21,0.2082,2.3496351007197016,0.015625,False,0.9160037600115079
Angelique,S22,0.2082,-0.30048484481098686,0.640625,False,0.6475328844732037
Angelique,S23,0.2082,0.43892331770934156,0.296875,False,1.5146097013579927
Angelique,S24,0.2082,1.3749823875618796,0.140625,False,-0.1372393936392958
Angelique,S25,0.2082,1.419792933658823,0.046875,True,2.000433758896299
Angelique,S26,0.2082,1.3985780347104966,0.109375,False,-1.615154105534874
Angelique,S27,0.2082,1.1541757422830448,0.078125,True,2.0695494804158074
Angelique,S28,0.2082,0.16511933424596512,0.421875,False,1.4582139150356725
Angelique,S29,0.2082,0.6894744827065636,0.265625,True,1.922135924457361
Angelique,S31,0.2082,1.2348818569026874,0.109375,True,2.4964615928071865
Angelique,S32,0.2082,1.407406899164548,0.109375,False,0.8819918387668427
Angelique,S33,0.2082,0.4971419692779529,0.265625,False,-0.29068055506614837
Angelique,S34,0.2082,1.6123338655811217,0.046875,False,-1.1161477455447926
Angelique,S35,0.2082,0.5127254831660248,0.390625,False,0.35099848670515016
Angelique,S37,0.2082,1.4937247114503795,0.046875,True,2.5504347638942138
Angelique,S38,0.2082,-0.04497538873046986,0.515625,True,2.122588788082894
Talia,S01,0.4892,2.3251625876823674,0.0625,True,1.8433336482768958
Talia,S02,0.4892,1.343377088381118,0.0625,True,1.339740890984838
Talia,S03,0.4892,2.1484462575436023,0.0625,True,1.9504522032034497
Talia,S04,0.4892,2.0330006133761755,0.0625,True,1.736171407006418
Talia,S05,0.4892,2.048181671712735,0.0625,True,1.7537116571864466
Talia,S06,0.4892,0.5870544710313839,0.3125,False,1.215571211042148
Talia,S07,0.4892,0.9936049834852098,0.1875,True,0.9218120842633689
Talia,S08,0.4892,2.1433209067837224,0.0625,True,1.6098403151345035
Talia,S09,0.4892,1.9863218631652517,0.0625,True,2.046652962535872
Talia,S10,0.4892,1.6258720121187547,0.0625,True,1.697455809363666
Talia,S11,0.4892,1.3495549711914936,0.1875,True,1.5939212073367994
Talia,S12,0.4892,2.001228259653447,0.0625,True,2.0823393283657086
Talia,S13,0.4892,2.11934344068583,0.0625,True,1.370992360811274
Talia,S14,0.4892,1.8447832164060527,0.0625,True,1.9805649160554428
Talia,S15,0.4892,1.736532564382518,0.0625,True,2.1862244062431966
