dataset,subject,elec_idx,elec,z,p
Angelique,S03,47,Cz,0.3949,0.32031
Angelique,S03,48,C2,-1.1389,0.83594
Angelique,S03,49,C4,-0.7376,0.77344
Angelique,S03,50,C6,0.3419,0.44531
Angelique,S03,51,T8,0.0718,0.49219
Angelique,S03,52,TP8,0.7916,0.27344
Angelique,S03,53,CP6,1.0525,0.14844
Angelique,S03,54,CP4,0.8379,0.24219
Angelique,S03,55,CP2,1.0857,0.17969
Angelique,S03,56,P2,-0.8052,0.71094
Angelique,S03,57,P4,-0.9486,0.82031
Angelique,S03,58,P6,-1.2455,0.88281
Angelique,S03,59,P8,0.7464,0.25781
Angelique,S03,60,P10,0.0626,0.49219
Angelique,S03,61,PO8,-0.5662,0.67969
Angelique,S03,62,PO4,-0.9402,0.82031
Angelique,S03,63,O2,0.2228,0.38281
Angelique,S03,64,PO9,1.425,0.08594
Angelique,S03,65,I1,-0.0223,0.52344
Angelique,S03,66,I2,-0.3036,0.60156
Angelique,S03,67,PO10,0.4261,0.32031
Angelique,S04,0,Fp1,-1.7452,0.96094
Angelique,S04,1,AF7,-1.3744,0.89844
Angelique,S04,2,AF3,-0.7277,0.75781
Angelique,S04,3,F1,-0.2575,0.60156
Angelique,S04,4,F3,-0.8419,0.78906
Angelique,S04,5,F5,-0.582,0.69531
Angelique,S04,6,F7,-1.604,0.91406
Angelique,S04,7,FT7,-1.4974,0.92969
Angelique,S04,8,FC5,-0.566,0.71094
Angelique,S04,9,FC3,-0.3087,0.63281
Angelique,S04,10,FC1,-0.5134,0.69531
Angelique,S04,11,C1,-0.8358,0.80469
Angelique,S04,12,C3,1.2543,0.11719
Angelique,S04,13,C5,-0.1095,0.52344
Angelique,S04,14,T7,-0.9827,0.82031
Angelique,S04,15,TP7,0.9629,0.17969
Angelique,S04,16,CP5,0.5782,0.28906
Angelique,S04,17,CP3,1.2785,0.10156
Angelique,S04,18,CP1,-0.9861,0.85156
Angelique,S04,19,P1,-0.4841,0.58594
Angelique,S04,20,P3,0.1847,0.39844
Angelique,S04,21,P5,0.4122,0.41406
Angelique,S04,22,P7,-1.1484,0.86719
Angelique,S04,23,P9,-1.4848,0.96094
Angelique,S04,24,PO7,-1.0563,0.80469
Angelique,S04,25,PO3,-1.1371,0.86719
Angelique,S04,26,O1,-0.8645,0.72656
Angelique,S04,27,Iz,-0.768,0.77344
Angelique,S04,28,Oz,-1.0925,0.83594
Angelique,S04,29,POz,-1.0932,0.82031
Angelique,S04,30,Pz,-0.2349,0.57031
Angelique,S04,31,CPz,-1.1878,0.85156
Angelique,S04,32,Fpz,-1.668,0.94531
Angelique,S04,33,Fp2,-1.7182,0.96094
Angelique,S04,34,AF8,-1.5126,0.89844
Angelique,S04,35,AF4,-0.8881,0.86719
Angelique,S04,36,AFz,-0.754,0.72656
Angelique,S04,37,Fz,-0.525,0.69531
Angelique,S04,38,F2,-1.0032,0.82031
Angelique,S04,39,F4,-0.5686,0.61719
Angelique,S04,40,F6,-0.9703,0.75781
Angelique,S04,41,F8,0.0275,0.49219
Angelique,S04,42,FT8,0.5714,0.33594
Angelique,S04,43,FC6,-0.6089,0.61719
Angelique,S04,44,FC4,-0.7689,0.66406
Angelique,S04,45,FC2,-1.6624,0.94531
Angelique,S04,46,FCz,-1.0546,0.83594
Angelique,S04,47,Cz,-1.6646,0.96094
Angelique,S04,48,C2,-1.9551,0.99219
Angelique,S04,49,C4,-0.1442,0.53906
Angelique,S04,50,C6,-0.0257,0.52344
Angelique,S04,51,T8,0.5839,0.28906
Angelique,S04,52,TP8,-1.2771,0.88281
Angelique,S04,53,CP6,-1.0262,0.80469
Angelique,S04,54,CP4,-1.1083,0.83594
Angelique,S04,55,CP2,-1.9863,0.97656
Angelique,S04,56,P2,-1.3126,0.89844
Angelique,S04,57,P4,-1.3153,0.88281
Angelique,S04,58,P6,-0.8054,0.77344
Angelique,S04,59,P8,-0.1519,0.55469
Angelique,S04,60,P10,-2.0972,0.99219
Angelique,S04,61,PO8,-0.8609,0.82031
Angelique,S04,62,PO4,-0.8979,0.82031
Angelique,S04,63,O2,1.3426,0.11719
Angelique,S04,64,PO9,-1.2291,0.88281
Angelique,S04,65,I1,-1.3362,0.89844
Angelique,S04,66,I2,-0.6717,0.64844
Angelique,S04,67,PO10,-1.0007,0.80469
Angelique,S05,0,Fp1,-2.0019,0.99219
Angelique,S05,1,AF7,-1.4968,0.91406
Angelique,S05,2,AF3,0.4455,0.38281
Angelique,S05,3,F1,-1.5116,0.92969
Angelique,S05,4,F3,-1.8512,0.97656
Angelique,S05,5,F5,-0.7475,0.72656
Angelique,S05,6,F7,-0.3377,0.64844
Angelique,S05,7,FT7,-0.931,0.78906
Angelique,S05,8,FC5,-1.2838,0.92969
Angelique,S05,9,FC3,-1.9534,0.97656
Angelique,S05,10,FC1,-0.2619,0.60156
Angelique,S05,11,C1,0.1901,0.42969
Angelique,S05,12,C3,-0.9663,0.78906
Angelique,S05,13,C5,-0.8276,0.74219
Angelique,S05,14,T7,-0.9175,0.77344
Angelique,S05,15,TP7,0.5688,0.33594
Angelique,S05,16,CP5,0.8242,0.27344
Angelique,S05,17,CP3,-0.522,0.67969
Angelique,S05,18,CP1,0.162,0.42969
Angelique,S05,19,P1,-1.3454,0.88281
Angelique,S05,20,P3,-0.574,0.72656
Angelique,S05,21,P5,-1.314,0.89844
Angelique,S05,22,P7,-0.0683,0.52344
Angelique,S05,23,P9,0.5551,0.32031
Angelique,S05,24,PO7,1.1277,0.13281
Angelique,S05,25,PO3,-1.1634,0.85156
Angelique,S05,26,O1,-1.4812,0.92969
Angelique,S05,27,Iz,0.5284,0.36719
Angelique,S05,28,Oz,-0.9788,0.83594
Angelique,S05,29,POz,-1.0793,0.83594
Angelique,S05,30,Pz,-0.6204,0.71094
Angelique,S05,31,CPz,-0.1463,0.53906
Angelique,S05,32,Fpz,-1.3423,0.89844
Angelique,S05,33,Fp2,-1.3619,0.89844
Angelique,S05,34,AF8,-0.2518,0.60156
Angelique,S05,35,AF4,-0.1687,0.55469
Angelique,S05,36,AFz,-1.689,0.94531
Angelique,S05,37,Fz,-0.3253,0.57031
Angelique,S05,38,F2,0.3167,0.39844
Angelique,S05,39,F4,0.3019,0.36719
Angelique,S05,40,F6,-0.0863,0.53906
Angelique,S05,41,F8,-0.4349,0.66406
Angelique,S05,42,FT8,-0.0711,0.53906
Angelique,S05,43,FC6,-1.0787,0.82031
Angelique,S05,44,FC4,0.0926,0.46094
Angelique,S05,45,FC2,0.6012,0.28906
Angelique,S05,46,FCz,0.2606,0.39844
Angelique,S05,47,Cz,0.1803,0.44531
Angelique,S05,48,C2,0.0163,0.49219
Angelique,S05,49,C4,0.1546,0.44531
Angelique,S05,50,C6,1.1928,0.16406
Angelique,S05,51,T8,-1.5677,0.92969
Angelique,S05,52,TP8,0.0121,0.47656
Angelique,S05,53,CP6,0.0151,0.49219
Angelique,S05,54,CP4,1.3847,0.11719
Angelique,S05,55,CP2,1.2597,0.13281
Angelique,S05,56,P2,-0.2019,0.57031
Angelique,S05,57,P4,1.3478,0.08594
Angelique,S05,58,P6,0.1809,0.46094
Angelique,S05,59,P8,-1.5029,0.89844
Angelique,S05,60,P10,-1.2938,0.88281
Angelique,S05,61,PO8,-1.7644,0.99219
Angelique,S05,62,PO4,-0.9404,0.80469
Angelique,S05,63,O2,-1.98,0.99219
Angelique,S05,64,PO9,-0.5418,0.69531
Angelique,S05,65,I1,-0.0205,0.50781
Angelique,S05,66,I2,-0.4434,0.66406
Angelique,S05,67,PO10,-0.6326,0.69531
Angelique,S07,0,Fp1,-1.2615,0.86719
Angelique,S07,1,AF7,-0.1603,0.53906
Angelique,S07,2,AF3,0.3822,0.47656
Angelique,S07,3,F1,0.2162,0.44531
Angelique,S07,4,F3,1.4595,0.08594
Angelique,S07,5,F5,-0.9175,0.82031
Angelique,S07,6,F7,1.7075,0.03906
Angelique,S07,7,FT7,1.617,0.05469
Angelique,S07,8,FC5,1.0675,0.17969
Angelique,S07,9,FC3,1.2855,0.10156
Angelique,S07,10,FC1,1.1273,0.14844
Angelique,S07,11,C1,0.996,0.16406
Angelique,S07,12,C3,1.5638,0.10156
Angelique,S07,13,C5,1.5318,0.08594
Angelique,S07,14,T7,1.8828,0.02344
Angelique,S07,15,TP7,0.6995,0.27344
Angelique,S07,16,CP5,2.2585,0.00781
Angelique,S07,17,CP3,1.3666,0.13281
Angelique,S07,18,CP1,0.5797,0.30469
Angelique,S07,19,P1,-1.4642,0.92969
Angelique,S07,20,P3,-0.0737,0.55469
Angelique,S07,21,P5,-0.9242,0.75781
Angelique,S07,22,P7,0.6416,0.25781
Angelique,S07,23,P9,0.289,0.38281
Angelique,S07,24,PO7,0.9074,0.21094
Angelique,S07,25,PO3,-0.4839,0.69531
Angelique,S07,26,O1,-0.0691,0.55469
Angelique,S07,27,Iz,1.1188,0.13281
Angelique,S07,28,Oz,0.9519,0.19531
Angelique,S07,29,POz,-1.6839,0.96094
Angelique,S07,30,Pz,-1.5023,0.94531
Angelique,S07,31,CPz,1.4008,0.07031
Angelique,S07,32,Fpz,-0.76,0.74219
Angelique,S07,33,Fp2,-0.3075,0.60156
Angelique,S07,34,AF8,-0.8409,0.78906
Angelique,S07,35,AF4,-0.0156,0.50781
Angelique,S07,36,AFz,-1.1793,0.85156
Angelique,S07,37,Fz,-0.2702,0.58594
Angelique,S07,38,F2,-0.0355,0.50781
Angelique,S07,39,F4,0.7246,0.25781
Angelique,S07,40,F6,0.5513,0.42969
Angelique,S07,41,F8,-1.2129,0.88281
Angelique,S07,42,FT8,-0.5029,0.69531
Angelique,S07,43,FC6,-0.3511,0.63281
Angelique,S07,44,FC4,1.7139,0.02344
Angelique,S07,45,FC2,0.3223,0.35156
Angelique,S07,46,FCz,0.2648,0.39844
Angelique,S07,47,Cz,1.1737,0.13281
Angelique,S07,48,C2,0.3553,0.39844
Angelique,S07,49,C4,1.3401,0.08594
Angelique,S07,50,C6,1.3224,0.10156
Angelique,S07,51,T8,0.8141,0.19531
Angelique,S07,52,TP8,0.2703,0.38281
Angelique,S07,53,CP6,0.1617,0.42969
Angelique,S07,54,CP4,-0.6907,0.74219
Angelique,S07,55,CP2,0.9052,0.19531
Angelique,S07,56,P2,-0.3244,0.60156
Angelique,S07,57,P4,0.975,0.21094
Angelique,S07,58,P6,1.6286,0.03906
Angelique,S07,59,P8,1.7025,0.07031
Angelique,S07,60,P10,1.5979,0.08594
Angelique,S07,61,PO8,1.5644,0.10156
Angelique,S07,62,PO4,1.7297,0.03906
Angelique,S07,63,O2,1.4604,0.11719
Angelique,S07,64,PO9,-0.0535,0.52344
Angelique,S07,65,I1,0.8477,0.21094
Angelique,S07,66,I2,1.403,0.11719
Angelique,S07,67,PO10,1.5903,0.10156
Angelique,S08,0,Fp1,-0.1407,0.52344
Angelique,S08,1,AF7,1.0433,0.21094
Angelique,S08,2,AF3,-1.4339,0.92969
Angelique,S08,3,F1,-0.8117,0.75781
Angelique,S08,4,F3,0.0725,0.49219
Angelique,S08,5,F5,0.81,0.22656
Angelique,S08,6,F7,0.1033,0.46094
Angelique,S08,7,FT7,-0.7031,0.72656
Angelique,S08,8,FC5,-0.1173,0.52344
Angelique,S08,9,FC3,0.3807,0.38281
Angelique,S08,10,FC1,-0.9898,0.80469
Angelique,S08,11,C1,-0.5933,0.64844
Angelique,S08,12,C3,0.9721,0.19531
Angelique,S08,13,C5,-0.2532,0.60156
Angelique,S08,14,T7,-0.0128,0.50781
Angelique,S08,15,TP7,0.2879,0.46094
Angelique,S08,16,CP5,0.1313,0.44531
Angelique,S08,17,CP3,-0.1186,0.53906
Angelique,S08,18,CP1,-0.5194,0.64844
Angelique,S08,19,P1,-0.4466,0.55469
Angelique,S08,20,P3,-0.2376,0.55469
Angelique,S08,21,P5,-0.2033,0.57031
Angelique,S08,22,P7,0.4346,0.35156
Angelique,S08,23,P9,-0.1527,0.55469
Angelique,S08,24,PO7,-0.6661,0.75781
Angelique,S08,25,PO3,-0.8228,0.74219
Angelique,S08,26,O1,-0.4034,0.64844
Angelique,S08,27,Iz,-0.1409,0.55469
Angelique,S08,28,Oz,0.394,0.36719
Angelique,S08,29,POz,-0.326,0.61719
Angelique,S08,30,Pz,-0.9298,0.78906
Angelique,S08,31,CPz,0.0863,0.46094
Angelique,S08,32,Fpz,-0.3598,0.61719
Angelique,S08,33,Fp2,-1.0281,0.83594
Angelique,S08,34,AF8,-0.7521,0.75781
Angelique,S08,35,AF4,-1.0647,0.83594
Angelique,S08,36,AFz,-0.1575,0.57031
Angelique,S08,37,Fz,-0.4782,0.66406
Angelique,S08,38,F2,-0.3692,0.64844
Angelique,S08,39,F4,-1.0988,0.86719
Angelique,S08,40,F6,1.2728,0.14844
Angelique,S08,41,F8,0.2716,0.42969
Angelique,S08,42,FT8,0.1532,0.44531
Angelique,S08,43,FC6,0.0597,0.49219
Angelique,S08,44,FC4,-0.5044,0.67969
Angelique,S08,45,FC2,0.0681,0.49219
Angelique,S08,46,FCz,0.4201,0.28906
Angelique,S08,47,Cz,0.1339,0.41406
Angelique,S08,48,C2,0.649,0.30469
Angelique,S08,49,C4,-0.8319,0.78906
Angelique,S08,50,C6,-0.8945,0.74219
Angelique,S08,51,T8,-0.19,0.57031
Angelique,S08,52,TP8,-1.4443,0.91406
Angelique,S08,53,CP6,-0.5116,0.74219
Angelique,S08,54,CP4,0.6235,0.28906
Angelique,S08,55,CP2,-0.0862,0.55469
Angelique,S08,56,P2,0.081,0.46094
Angelique,S08,57,P4,-0.2712,0.57031
Angelique,S08,58,P6,-0.0075,0.50781
Angelique,S08,59,P8,0.0549,0.47656
Angelique,S08,60,P10,-1.4146,0.92969
