dataset,boost,tdca_z,a1_z,roi_z,loc_hit,loc_z,tdca_rank,a1_rank,roi_rank
D1,0.0,0.16671500305546855,0.50484221206256,-0.026469935679251436,0.13333333333333333,0.2799323636864505,0.18279968393651186,0.4855347512170701,-0.016647200471777767
D1,0.02,0.16615970348588974,0.500399505481528,-0.003919015483313045,0.13333333333333333,0.27299125514619205,0.19912074333198768,0.4850563511815517,0.012002132913526592
D1,0.05,0.17648120980521873,0.5291517290598083,0.0665846381959088,0.13333333333333333,0.2865257371548572,0.2103118720841217,0.5289218132752971,0.07695558586933901
D1,0.1,0.23838774738313848,0.6610815129524981,0.27729834143244586,0.13333333333333333,0.37811656737105853,0.25414742455102296,0.6959086769159147,0.29948821685528215
D1,0.2,0.7934276081850793,1.1082894008942865,0.9459642440460421,0.4,0.963028053069505,0.7888380284556439,1.1554133325031986,0.8936237827321533
D1,0.3,1.8654793130115768,1.5478353541047516,1.5782245480030883,0.6666666666666666,1.7783682949569102,1.709880786076817,1.6007111487216836,1.6024886803756577
D1,0.5,2.8870440118022414,1.9608382091639205,2.1448233975362503,0.9666666666666667,2.012216540670626,2.1538746940614564,2.0934601379585778,2.304011901659807
D2,0.0,-0.5236650426936303,0.01694069177869304,0.030879217414409924,0.06666666666666667,-0.14312102471439475,-0.3754498865746792,-0.06032518706079091,-0.055892518500148945
D2,0.02,-0.5232303128035761,0.02068430965144045,0.03977348249230635,0.06666666666666667,-0.16033442446324184,-0.3754498865746792,-0.017252714012468216,-0.055892518500148945
D2,0.05,-0.5159246513602065,0.04280960224725218,0.0710910820832347,0.06666666666666667,-0.1730364932539641,-0.3754498865746792,-0.017252714012468216,-0.029735311520326966
D2,0.1,-0.4659683885573751,0.12260635044527142,0.1690608442726278,0.0,-0.10717310317376066,-0.3488918767143988,0.046794516983877224,0.048336557310453575
D2,0.2,-0.022757928927217463,0.4111250715604963,0.5059618455111602,0.13333333333333333,0.18323302557341173,-0.006145336161874863,0.22697270136790196,0.5611277612227011
D2,0.3,0.6217000375812631,0.7560049100172378,0.9302317427837681,0.4,1.1348733554977593,0.5489206505472118,0.678197195666102,0.959575842473434
D2,0.5,1.8004972548690121,1.2402924966270317,1.5699275817714096,0.9333333333333333,1.6902995498517417,1.4047257472858123,1.2487729403587977,1.5594789546274999
