dataset,subject,boost,tdca_z,tdca_p,a1_z,a1_p,roi_z,roi_p,loc_hit,loc_z
Angelique,S02,0.0,-1.0486718908202843,0.765625,-1.0200327100591724,0.859375,-0.03698217499794365,0.5390625,False,-0.8904102929972595
Angelique,S03,0.0,-0.7983432808048416,0.734375,0.07352595717863923,0.421875,0.8721142347617851,0.2265625,False,0.22585373840526743
Angelique,S04,0.0,0.2530746545038904,0.328125,1.1642298538602416,0.109375,0.4471139066462311,0.3828125,True,1.679684380567127
Angelique,S05,0.0,0.8387259866240037,0.203125,1.6043659524042382,0.078125,1.8357621158596884,0.0234375,False,0.5431688900083448
Angelique,S07,0.0,0.43593965773437443,0.296875,0.10371243342749316,0.421875,-0.6329341208969856,0.6796875,False,1.1525441885301886
Angelique,S08,0.0,-0.8416133723303109,0.734375,-1.1086797618560875,0.828125,0.3512415106086723,0.3828125,False,0.2100741484516905
Angelique,S09,0.0,-0.023006344536095565,0.609375,-0.5968324782140172,0.734375,-0.9195027020140811,0.7734375,False,-0.9262121518375763
Angelique,S10,0.0,-0.18467704310652963,0.546875,1.2907859527434267,0.203125,-0.06710545946903837,0.5390625,False,-0.7059703131818208
Angelique,S11,0.0,0.2996600696634661,0.421875,1.6644270491026878,0.015625,0.08259083335993588,0.4765625,False,1.2839679546357121
Angelique,S13,0.0,1.5767768295955384,0.109375,1.371893861842388,0.078125,-0.3026251416275182,0.5859375,False,0.6078957165371736
Angelique,S15,0.0,0.19096085618243702,0.265625,0.5455352885455359,0.359375,-0.29950586437263305,0.5703125,False,-0.03289675141248614
Angelique,S16,0.0,-1.4132109529885433,0.953125,-1.494769288149722,0.953125,-0.13309062121728735,0.546875,False,-1.0247569687705638
Angelique,S18,0.0,0.3838022124099518,0.359375,0.6422127224317049,0.296875,0.027570192506549965,0.4609375,True,1.306122463758558
Angelique,S19,0.0,1.9998450682608082,0.015625,1.2514205381625623,0.078125,-0.46820033844808767,0.6484375,False,0.7860986977296743
Angelique,S21,0.0,1.9249967238138916,0.015625,1.9272336165739177,0.015625,1.3155115961180572,0.1328125,False,0.848757776767896
Angelique,S22,0.0,-0.4529987600501551,0.609375,0.7030964323722326,0.296875,0.3653778292929401,0.3828125,False,0.3393738770656633
Angelique,S23,0.0,0.8839213551066486,0.171875,0.8946965496179073,0.234375,-0.8614511324286693,0.8046875,False,1.7053544268961494
Angelique,S24,0.0,0.8084015978151292,0.171875,1.443027771593351,0.109375,-0.9407813953218226,0.8359375,False,-0.20035650699522514
Angelique,S25,0.0,0.20533598986055185,0.453125,0.1695491513402342,0.453125,-1.5740329138748683,0.9453125,False,-0.27292898036052293
Angelique,S26,0.0,0.31262300070998356,0.390625,-0.031108315110600807,0.609375,-1.0571707833747577,0.8359375,False,-0.7150704576745718
Angelique,S27,0.0,0.7009649427844623,0.265625,1.826804991825628,0.015625,-0.8813237459597408,0.7734375,False,0.5388181759367359
Angelique,S28,0.0,-0.3193309630247713,0.578125,-0.16649772529477433,0.578125,0.06187668171538168,0.4921875,False,0.46597586690210857
Angelique,S29,0.0,-0.2199144837928174,0.609375,0.30085943778631985,0.453125,0.4056432631837395,0.3828125,False,0.20273941584712016
Angelique,S31,0.0,-0.32057282511565005,0.703125,0.7684022456968085,0.203125,0.7879874541828947,0.2265625,False,-0.32187823293789414
Angelique,S32,0.0,0.3250501514684548,0.328125,1.692678426497387,0.046875,0.31003826937400003,0.3671875,False,0.7839491792942989
Angelique,S33,0.0,-1.1947121884605316,0.953125,-0.7845653292322554,0.765625,-0.5921924220197302,0.6953125,False,-1.524839140864398
Angelique,S34,0.0,1.4133769842133208,0.109375,1.1372518633196826,0.171875,0.12246411537961588,0.4453125,False,-1.0618359465548324
Angelique,S35,0.0,-0.8077490276777177,0.734375,-0.5751381602008452,0.703125,0.6556399481653172,0.2734375,False,-0.05819982505923756
Angelique,S37,0.0,0.6719074196498521,0.296875,0.7720242083452362,0.203125,0.22567039238889805,0.4140625,True,1.731565836534444
Angelique,S38,0.0,-0.59911227602446,0.703125,-0.42484417467334845,0.671875,0.10619840210191357,0.4140625,True,1.7213817453717526
Talia,S01,0.0,-0.4180881577718493,0.5625,-0.21203657769603804,0.6875,0.23125793513068563,0.46875,False,-1.057297952080534
Talia,S02,0.0,-1.0617078330127514,0.8125,0.42568349642423636,0.4375,-1.6709401415099345,0.96875,False,-0.785422262221597
Talia,S03,0.0,-0.4273392867947913,0.5625,0.19771059113036532,0.5625,1.4686643416461047,0.09375,False,1.1447519822358447
Talia,S04,0.0,0.13903830259576838,0.3125,0.04695081539491635,0.4375,0.9876812619989854,0.21875,False,-1.1395121909084178
Talia,S05,0.0,-1.7971361792496086,0.9375,-2.015177840051238,0.9375,-1.0350342708458748,0.78125,False,-1.6446763950759948
Talia,S06,0.0,-1.697936157402562,0.9375,-0.027120546182316754,0.4375,0.6192341028805878,0.34375,False,-0.43525002881314995
Talia,S07,0.0,-0.7405029842599417,0.6875,-1.1341877183621245,0.8125,0.2602443350307102,0.40625,False,-0.9080807221816816
Talia,S08,0.0,0.3806538288720439,0.3125,0.3097407762546983,0.3125,-1.2569825323225912,0.84375,True,1.709212198642431
Talia,S09,0.0,0.3777623118722692,0.1875,0.3933453066538728,0.4375,-0.4847803079814347,0.71875,False,-0.41189702693974883
Talia,S10,0.0,-1.5135323671980192,0.9375,0.27501683191310605,0.4375,0.4585975569146113,0.46875,False,0.24026369733931574
Talia,S11,0.0,0.302018716936567,0.3125,1.08774083735629,0.1875,0.5170464132374202,0.28125,False,0.7464629165334299
Talia,S12,0.0,0.2539556869609905,0.3125,0.24120150560876616,0.4375,-0.4906559015506013,0.59375,False,-0.218721524782196
Talia,S13,0.0,-1.3660065203439955,0.9375,0.751812849526032,0.3125,-1.446227565525598,0.96875,False,0.37199008013876
Talia,S14,0.0,-1.2480462430694166,0.9375,-0.442878422967629,0.6875,1.1881124843546134,0.15625,False,-0.17200502273454596
Talia,S15,0.0,0.9618912414608417,0.1875,0.3563084716774586,0.5625,1.1169705497584648,0.15625,False,0.4133668801321633
Angelique,S02,0.02,-1.0521084481829324,0.765625,-0.9964572941663599,0.859375,-0.0013362884253861373,0.5078125,False,-0.8752999620178256
Angelique,S03,0.02,-0.7676228845268878,0.734375,-0.003758706887163747,0.421875,0.8680544312489,0.2421875,False,0.24654033036345474
Angelique,S04,0.02,0.2075078744892405,0.328125,1.0449445791096628,0.109375,0.4297891291517065,0.3828125,True,1.462990094818906
Angelique,S05,0.02,0.8645497411066969,0.171875,1.5977231790187132,0.078125,1.857155766062539,0.0234375,False,0.5160030321885636
Angelique,S07,0.02,0.44118741702121267,0.296875,0.07984174218092557,0.421875,-0.6310418875234495,0.6640625,False,1.2032096066821947
Angelique,S08,0.02,-0.8334965497914055,0.734375,-1.0065317461613195,0.828125,0.3526898123123601,0.3828125,False,0.3003299434869735
Angelique,S09,0.02,-0.03543969550965738,0.609375,-0.6106390279750229,0.734375,-0.8453890526370565,0.7734375,False,-0.9304281851254838
Angelique,S10,0.02,-0.1438360646150827,0.546875,1.374436760315904,0.140625,0.028684810419571563,0.4921875,False,-0.6695271255272432
Angelique,S11,0.02,0.3020282982077713,0.421875,1.6759183835076397,0.015625,0.12491698122104336,0.4609375,False,1.2922266095954955
Angelique,S13,0.02,1.5795536632519334,0.109375,1.3852011394649195,0.078125,-0.1640878388415031,0.5546875,False,0.7071624591079505
Angelique,S15,0.02,0.17596811679167265,0.265625,0.5151847812094781,0.359375,-0.30549345800805555,0.5703125,False,-0.03414896186166002
Angelique,S16,0.02,-1.4176298283044266,0.953125,-1.527133847691881,0.953125,-0.11305489836614196,0.546875,False,-1.0104356930946177
Angelique,S18,0.02,0.39845354332242344,0.359375,0.6339873387232161,0.296875,0.03675904090100796,0.4765625,True,1.2676980104644777
Angelique,S19,0.02,1.9886709781381475,0.015625,1.2446612578203717,0.078125,-0.4371025311467739,0.6484375,False,0.7526299910637487
Angelique,S21,0.02,1.8966948813021818,0.015625,1.9155485131248007,0.015625,1.3418066261522799,0.1171875,False,0.8071745314919019
Angelique,S22,0.02,-0.4617840131309857,0.640625,0.6181386912239549,0.359375,0.40815368258815177,0.3515625,False,0.2526288366544988
Angelique,S23,0.02,0.8564052394158026,0.171875,0.8411994871799149,0.234375,-0.8595322737909817,0.8046875,False,1.6608986760776014
Angelique,S24,0.02,0.8609513291615,0.171875,1.4442612256476564,0.109375,-0.9064614787046131,0.7890625,False,-0.17596028408507722
Angelique,S25,0.02,0.14917108806413437,0.484375,0.24892009061611914,0.453125,-1.5403496275724184,0.9453125,False,-0.1513954673056732
Angelique,S26,0.02,0.3070222127131531,0.390625,-0.17244466176401774,0.671875,-1.0596387974327246,0.8359375,False,-0.7693142927588744
Angelique,S27,0.02,0.6750650532921119,0.265625,1.9778706595156312,0.015625,-0.86366336762333,0.7734375,False,0.5291708705733233
Angelique,S28,0.02,-0.32134829210007154,0.578125,-0.1732053192036579,0.578125,0.06789112402970439,0.4921875,False,0.5169779284957355
Angelique,S29,0.02,-0.23197484564946777,0.609375,0.3392827215030763,0.421875,0.452352349033846,0.3515625,False,0.10047965931991565
Angelique,S31,0.02,-0.37096500260726856,0.734375,0.7349322002111837,0.203125,0.7807054196312243,0.2265625,False,-0.34101831180297093
Angelique,S32,0.02,0.3662430982690912,0.296875,1.6950941033602194,0.046875,0.30731744221272156,0.3671875,False,0.7374729294977653
Angelique,S33,0.02,-1.0981505093014372,0.890625,-0.7908070495088082,0.765625,-0.5866875492949716,0.7109375,False,-1.5160632749267902
Angelique,S34,0.02,1.4121023088096685,0.109375,1.1349749380095746,0.171875,0.10315092140869904,0.4609375,False,-1.0494113226852289
Angelique,S35,0.02,-0.7949000742964883,0.734375,-0.5097129926625438,0.703125,0.6752309911078266,0.2421875,False,0.0035676109613688996
Angelique,S37,0.02,0.6809235947112802,0.265625,0.7588362716894912,0.203125,0.24659403159708454,0.3984375,True,1.727246253030649
Angelique,S38,0.02,-0.6484511254752187,0.703125,-0.45828225296583924,0.671875,0.11501602578934816,0.3671875,True,1.6283331617026815
Talia,S01,0.02,-0.3994511876071682,0.5625,-0.16858232000925336,0.6875,0.25470122020910746,0.46875,False,-1.0294871472545966
Talia,S02,0.02,-1.055825811101371,0.8125,0.44508246584398115,0.4375,-1.679581835116791,0.96875,False,-0.7793147391554022
Talia,S03,0.02,-0.406238497097158,0.5625,0.2423993870862744,0.3125,1.4561553233157807,0.09375,False,1.1672460772399365
Talia,S04,0.02,0.13872611273410507,0.3125,0.02772525881099026,0.4375,0.9787306695504986,0.21875,False,-1.2387813244864045
Talia,S05,0.02,-1.783406527770325,0.9375,-1.982789226958987,0.9375,-1.0099818946255015,0.78125,False,-1.7079017218607573
Talia,S06,0.02,-1.714262162406107,0.9375,-0.051683382029042144,0.4375,0.6430930281697205,0.34375,False,-0.42424643881052665
Talia,S07,0.02,-0.7430638665588687,0.6875,-1.1486254824515976,0.8125,0.26117472275023546,0.40625,False,-0.9628994313433298
Talia,S08,0.02,0.3779629925155413,0.3125,0.2762000565577766,0.3125,-1.2286034635547516,0.84375,True,1.66266016140571
Talia,S09,0.02,0.37067458798446395,0.1875,0.381533628990648,0.4375,-0.4849930157130118,0.71875,False,-0.48661294217613216
Talia,S10,0.02,-1.52522229036619,0.9375,0.27665209946823055,0.4375,0.47130890003143905,0.46875,False,0.1823558335107816
Talia,S11,0.02,0.3078141072862808,0.3125,1.0984917688617648,0.1875,0.5242557336152431,0.28125,False,0.7515860653183458
Talia,S12,0.02,0.25877543130252817,0.3125,0.25744216362652633,0.4375,-0.4698772387154167,0.59375,False,-0.17526947285985772
Talia,S13,0.02,-1.385568417439113,0.9375,0.6800980568537098,0.3125,-1.4489184405800755,0.96875,False,0.29746279982645096
Talia,S14,0.02,-1.2508671749259619,0.9375,-0.37512026025875483,0.6875,1.2029152932106983,0.15625,False,-0.12139826871153896
Talia,S15,0.02,0.9614980113957015,0.1875,0.3514404303793397,0.5625,1.1262232348374202,0.15625,False,0.4595841824086933
Angelique,S02,0.05,-1.0445360862049238,0.765625,-0.9054348957556503,0.859375,0.09231416982633064,0.4140625,False,-0.8416282897700217
Angelique,S03,0.05,-0.7046121557998194,0.734375,-0.08593882492733697,0.484375,0.9001576389623451,0.2109375,False,0.30520347855310714
Angelique,S04,0.05,0.19447595996671196,0.328125,0.9220066988886904,0.140625,0.4767202625317209,0.3515625,True,1.0455945429044575
Angelique,S05,0.05,0.9012510614751145,0.171875,1.6035756512857615,0.078125,1.896538594682667,0.0234375,False,0.5153377890643752
Angelique,S07,0.05,0.45082025587222907,0.296875,0.057497109208042636,0.421875,-0.6156461965123199,0.6640625,False,1.2977111247068498
Angelique,S08,0.05,-0.8229680723265872,0.765625,-0.7996233750046476,0.796875,0.38629261835623974,0.3828125,False,0.4466369027867343
Angelique,S09,0.05,-0.057213782207475035,0.609375,-0.5176961018238438,0.640625,-0.6909322083230176,0.7421875,False,-0.9048970100043566
Angelique,S10,0.05,-0.025652350527537487,0.484375,1.502867633100603,0.078125,0.21608334226410572,0.3828125,False,-0.6295813920731206
Angelique,S11,0.05,0.30438303504648495,0.421875,1.7069697333499503,0.015625,0.22062466987052423,0.4296875,False,1.3070685440790668
Angelique,S13,0.05,1.5895503306431786,0.109375,1.4109408299522095,0.078125,0.07849090565057837,0.4765625,False,0.8488297597733694
Angelique,S15,0.05,0.1647698320734053,0.265625,0.4753452990842221,0.359375,-0.2867095134796563,0.5703125,False,-0.029463443080531688
Angelique,S16,0.05,-1.4240078917287944,0.953125,-1.4877922517588165,0.953125,-0.060954988546074965,0.546875,False,-0.974833627144917
Angelique,S18,0.05,0.4313024929904115,0.359375,0.632678617861887,0.296875,0.08380029421458782,0.4921875,True,1.2498507497467963
Angelique,S19,0.05,1.9760771143746487,0.015625,1.2644316381552765,0.078125,-0.33865487097861013,0.6015625,False,0.6891889710260938
Angelique,S21,0.05,1.857147553711475,0.015625,1.9112818219268293,0.015625,1.3968338495926074,0.1015625,False,0.7473073933094176
Angelique,S22,0.05,-0.46486370259971965,0.640625,0.5523540103047613,0.359375,0.5127983582166544,0.3359375,False,0.15744164068507582
Angelique,S23,0.05,0.7799051140525691,0.203125,0.797821102464987,0.265625,-0.8099608227821234,0.7734375,False,1.5699445499735418
Angelique,S24,0.05,0.9412138457539766,0.171875,1.453332554718371,0.109375,-0.7915312105661806,0.7578125,False,-0.1187582019643371
Angelique,S25,0.05,0.12495234491874922,0.484375,0.39373022947084163,0.390625,-1.455128715116017,0.9296875,False,0.067063661039957
Angelique,S26,0.05,0.32289422654489164,0.359375,-0.34211915741542887,0.703125,-1.0296201937084744,0.8203125,False,-0.8252321682277917
Angelique,S27,0.05,0.6327524852098884,0.328125,2.2232073787015576,0.015625,-0.7706868262108069,0.7734375,False,0.5556251552110598
Angelique,S28,0.05,-0.328898505731735,0.578125,-0.15809757991516704,0.578125,0.10719587925637761,0.4765625,False,0.6286596224556412
Angelique,S29,0.05,-0.21812216173490548,0.609375,0.41441677431943347,0.390625,0.552271314862885,0.3203125,False,0.26522457360501606
Angelique,S31,0.05,-0.4221832640395729,0.734375,0.7820897599257935,0.171875,0.8113351896379795,0.2265625,False,-0.28172639166629004
Angelique,S32,0.05,0.4381029284206879,0.296875,1.7087411084104835,0.015625,0.33673154732798455,0.3984375,False,0.6840907529508065
Angelique,S33,0.05,-0.9326226984879956,0.796875,-0.7197645901245499,0.765625,-0.5367089883913434,0.7109375,False,-1.4514762689503047
Angelique,S34,0.05,1.4178268122860194,0.109375,1.1362098250875892,0.171875,0.10131649682421562,0.4609375,False,-1.0158725538544102
Angelique,S35,0.05,-0.7636296111905818,0.703125,-0.3733448646769215,0.609375,0.7360821524027369,0.2265625,False,0.07453535292146309
Angelique,S37,0.05,0.7034007118009332,0.265625,0.7595352467396557,0.203125,0.31628316739709805,0.3515625,True,1.7236869803466324
Angelique,S38,0.05,-0.7270795284051651,0.703125,-0.444669509760333,0.671875,0.16220322861425013,0.3515625,True,1.4902399162423348
Talia,S01,0.05,-0.35234000285049366,0.5625,-0.07515445674701733,0.6875,0.32861595403474797,0.40625,False,-0.967229914608888
Talia,S02,0.05,-1.041388667087742,0.8125,0.4848323365332603,0.4375,-1.6834817743985477,0.96875,False,-0.7538513590033199
Talia,S03,0.05,-0.364791166297812,0.5625,0.3220647418341905,0.3125,1.4547200755993355,0.09375,False,1.216640173121328
Talia,S04,0.05,0.1531862134277708,0.3125,0.0032091732567959036,0.4375,0.9846825056256417,0.21875,False,-1.5487909981278887
Talia,S05,0.05,-1.7683569440689546,0.9375,-1.8954655711473003,0.9375,-0.9584073005619014,0.78125,False,-1.7745799185322115
Talia,S06,0.05,-1.7368565741634563,0.9375,-0.07330554911370893,0.4375,0.704643070732497,0.34375,False,-0.4087859705106422
Talia,S07,0.05,-0.7429085800275198,0.6875,-1.1480633038398111,0.8125,0.27704855912497117,0.40625,False,-1.0099644153209275
Talia,S08,0.05,0.40506931587620315,0.3125,0.2567813141678117,0.3125,-1.1631611628279663,0.78125,True,1.5705179722483613
Talia,S09,0.05,0.3649631832222505,0.1875,0.3644850298534556,0.4375,-0.4757022548515798,0.71875,False,-0.5261375790620231
Talia,S10,0.05,-1.5384652386261055,0.9375,0.29369526820329217,0.4375,0.5082548877434053,0.46875,False,0.14977916979993358
Talia,S11,0.05,0.31738721926405083,0.3125,1.120367884435879,0.1875,0.549820823892006,0.28125,False,0.7665274178512173
Talia,S12,0.05,0.27318995078729896,0.3125,0.2862907077409748,0.4375,-0.4198287755123045,0.59375,False,-0.0859189808906213
Talia,S13,0.05,-1.4108407130986047,0.9375,0.5928367622719803,0.3125,-1.4380406007095303,0.96875,False,0.2738359804973698
Talia,S14,0.05,-1.2589381381624822,0.9375,-0.24954619702656314,0.6875,1.2386772144701568,0.15625,False,-0.030833374043244016
Talia,S15,0.05,0.9622203714024987,0.1875,0.359115893285543,0.5625,1.1585250088875891,0.15625,False,0.5332443977720946
Angelique,S02,0.1,-0.9945443976976023,0.765625,-0.62144101924948,0.671875,0.34244507254473877,0.3515625,False,-0.8430836676426751
Angelique,S03,0.1,-0.4892395795926128,0.734375,-0.08415384726459865,0.453125,1.039702175617519,0.1484375,False,0.47446422479994865
Angelique,S04,0.1,0.23215809800742443,0.328125,0.9145032933863347,0.140625,0.7334240758526364,0.2734375,True,0.8854180226483863
Angelique,S05,0.1,0.9771274339505638,0.140625,1.6498972481937724,0.046875,1.974658544822709,0.0078125,False,0.6032977745382263
Angelique,S07,0.1,0.50878387267191,0.296875,0.060472184786263206,0.390625,-0.5565759506587473,0.6484375,False,1.5493202460104882
Angelique,S08,0.1,-0.8427938165005491,0.765625,-0.3636683492353588,0.578125,0.5173912923879643,0.3359375,False,0.7393702263330664
Angelique,S09,0.1,-0.10880114928215907,0.609375,-0.1203899199051058,0.546875,-0.31282404709385264,0.6171875,False,-0.8212459310853345
Angelique,S10,0.1,0.3592275926274213,0.390625,1.7039980981019205,0.015625,0.6140695135499556,0.2578125,False,-0.3788260795201816
Angelique,S11,0.1,0.30631463967578065,0.421875,1.7879608630833286,0.015625,0.45370786406632463,0.3203125,False,1.4050832792568866
Angelique,S13,0.1,1.6079259666226804,0.109375,1.4663101800425644,0.046875,0.5357441287185899,0.3046875,False,1.0871417734677022
Angelique,S15,0.1,0.15054784670357899,0.265625,0.44003823529139896,0.328125,-0.1805842118181761,0.5546875,False,0.0041513818791074995
Angelique,S16,0.1,-1.4233957736004028,0.953125,-1.223493072737389,0.890625,0.08183891798442416,0.484375,False,-0.8631047461989976
Angelique,S18,0.1,0.5577828037476966,0.296875,0.6619595631244294,0.296875,0.24852495682819745,0.4140625,True,1.3276986419610475
Angelique,S19,0.1,1.9722448629182288,0.015625,1.3720730264058403,0.078125,-0.026915551825739688,0.5234375,False,0.5872158026346893
Angelique,S21,0.1,1.7953424793970898,0.015625,1.9411182541350558,0.015625,1.5197744515901022,0.0703125,False,0.6450836333424083
Angelique,S22,0.1,-0.4522759688328537,0.640625,0.6348167750374625,0.359375,0.7918831967082393,0.2109375,False,0.2532191837096645
Angelique,S23,0.1,0.6267027814988679,0.234375,0.8194695445895281,0.234375,-0.6155775081968508,0.6953125,False,1.4291275871685067
Angelique,S24,0.1,1.0883513923714105,0.140625,1.48719428786881,0.109375,-0.4234874867942846,0.6328125,False,-0.07628298520297652
Angelique,S25,0.1,0.1745599826509047,0.453125,0.6741478289619129,0.296875,-1.183768592699402,0.8671875,False,0.43154812934337244
Angelique,S26,0.1,0.3993786263630526,0.328125,-0.4786965614798596,0.703125,-0.8894451208954338,0.7890625,False,-0.9971740171492143
Angelique,S27,0.1,0.5850644856087767,0.359375,2.528352535270619,0.015625,-0.4174399177084038,0.6328125,False,0.7658407386435991
Angelique,S28,0.1,-0.3452132711276289,0.609375,-0.06794053311693436,0.546875,0.2503178090631497,0.4140625,False,0.844574478055536
Angelique,S29,0.1,-0.1681274939183483,0.609375,0.5875222594002993,0.265625,0.7857321684293671,0.2109375,False,0.4469961108318748
Angelique,S31,0.1,-0.16086938306320966,0.640625,1.088649385520976,0.140625,0.9747838126122682,0.1796875,False,0.2651901784431248
Angelique,S32,0.1,0.6016813619980275,0.265625,1.7529576611616287,0.015625,0.47441112334816676,0.3359375,False,0.6454132694750238
Angelique,S33,0.1,-0.5852085835289542,0.671875,-0.4218830911913749,0.640625,-0.34827991070219017,0.6484375,False,-1.2129871233741376
Angelique,S34,0.1,1.4492151253769625,0.109375,1.1500739839762997,0.171875,0.17074864098449016,0.4296875,False,-0.9584760415802106
Angelique,S35,0.1,-0.6431797135555348,0.703125,-0.06902170887846046,0.578125,0.9085202664530773,0.2109375,False,-0.03940100082532009
Angelique,S37,0.1,0.7727494227540498,0.234375,0.8176157524772767,0.171875,0.5269996621669519,0.3046875,True,1.7402265844285707
Angelique,S38,0.1,-0.7998772227504166,0.734375,-0.2559974691822161,0.640625,0.32917086763758446,0.3203125,True,1.4036973467395726
Talia,S01,0.1,-0.1428075271132227,0.5625,0.1439635911972602,0.6875,0.5444159320653957,0.34375,False,-0.725725601205676
Talia,S02,0.1,-1.0001226543728146,0.8125,0.5743009781700165,0.4375,-1.6654935026907427,0.96875,False,-0.7024397993803189
Talia,S03,0.1,-0.2576874164209519,0.5625,0.4803981262091237,0.3125,1.4835836396536746,0.09375,False,1.342021124887594
Talia,S04,0.1,0.2134459821857348,0.3125,-0.026963803833915657,0.4375,1.0517143536945475,0.21875,False,-1.7467362001407298
Talia,S05,0.1,-1.7423289459900058,0.9375,-1.6442040173077896,0.9375,-0.8353856039766407,0.71875,False,-1.844409349627102
Talia,S06,0.1,-1.7732266517484587,0.9375,-0.06774850948323176,0.4375,0.8745122131551858,0.28125,False,-0.3662975280160787
Talia,S07,0.1,-0.7038683817382008,0.6875,-1.0883961883417892,0.8125,0.34056820721637204,0.34375,False,-0.9002243948070467
