dataset,subject,modality,font_label,condition,seq_name,block_id,snr_disc_all,global_SNR_3.75,global_SNR_7.5,global_SNR_11.25,global_SNR_15,global_SNR_18.75,global_logP_3.75,global_logP_7.5,global_logP_11.25,global_logP_15,global_logP_18.75,global_SNR_ratio
Angelique,S02,Dig,1F,Control,sequence_0,S02|Dig|1F|Control,1.0497740507125854,1.0497740507125854,7.079998016357422,1.3534725904464722,2.2446701526641846,2.1079537868499756,6.5639801025390625,7.286592960357666,7.360813140869141,6.085758209228516,6.179152488708496,0.4317153990268707
Angelique,S02,Dig,1F,Control,sequence_1,S02|Dig|1F|Control,1.4002809524536133,1.4002809524536133,7.068116188049316,0.6433085203170776,1.8652020692825317,1.2697501182556152,6.802297592163086,7.155129909515381,6.372795581817627,6.098148822784424,5.853437423706055,1.2267917394638062
Angelique,S02,Dig,1F,Par,sequence_0,S02|Dig|1F|Par,1.0317792892456055,1.0317792892456055,3.160440444946289,0.946382999420166,3.0443615913391113,1.0873024463653564,6.667137622833252,6.902414798736572,6.597006320953369,6.34382963180542,5.78200626373291,1.2790998220443726
Angelique,S02,Dig,1F,Par,sequence_1,S02|Dig|1F|Par,1.4721033573150635,1.4721033573150635,5.133208751678467,1.1557245254516602,3.496593952178955,1.7761565446853638,6.7290940284729,7.101419448852539,6.758938789367676,6.519565105438232,6.016589641571045,1.251448631286621
Angelique,S02,Dig,20F/A,Control,sequence_0,S02|Dig|20F/A|Control,1.2048879861831665,1.2048879861831665,5.515944957733154,0.6496801376342773,1.5569353103637695,0.6528058052062988,6.6472978591918945,7.430016994476318,6.678407669067383,6.2581658363342285,5.796090126037598,0.359025239944458
Angelique,S02,Dig,20F/A,Control,sequence_1,S02|Dig|20F/A|Control,1.0366920232772827,1.0366920232772827,3.3870182037353516,1.0170812606811523,1.2660431861877441,0.8068404793739319,6.588998794555664,7.198988437652588,6.899553298950195,6.117219924926758,6.038371562957764,0.9634376764297485
Angelique,S02,Dig,20F/A,Par,sequence_0,S02|Dig|20F/A|Par,1.1667766571044922,1.1667766571044922,8.389774322509766,0.3969634175300598,0.9009820818901062,0.8354886174201965,6.620715141296387,7.556018829345703,6.2881999015808105,5.907719135284424,5.8165669441223145,0.35866954922676086
Angelique,S02,Dig,20F/A,Par,sequence_1,S02|Dig|20F/A|Par,1.8189291954040527,1.8189291954040527,5.756800651550293,1.6643037796020508,2.0682783126831055,0.677495539188385,6.861331939697266,7.3268022537231445,7.212996006011963,6.275015354156494,5.652963161468506,0.9029463529586792
Angelique,S02,Dig,20F/S,Control,sequence_0,S02|Dig|20F/S|Control,0.8295435905456543,0.8295435905456543,9.386521339416504,1.6619471311569214,2.469066858291626,0.951164722442627,6.509739398956299,7.437631607055664,6.525773525238037,6.211467742919922,5.7201313972473145,0.20132648944854736
Angelique,S02,Dig,20F/S,Control,sequence_1,S02|Dig|20F/S|Control,1.871466875076294,1.871466875076294,10.788658142089844,0.6180709600448608,2.1725034713745117,1.2809635400772095,6.7427449226379395,7.5099358558654785,6.69070291519165,6.259762763977051,5.840327262878418,0.28723767399787903
Angelique,S02,Dig,20F/S,Par,sequence_0,S02|Dig|20F/S|Par,0.9963400363922119,0.9963400363922119,11.388263702392578,1.2722885608673096,2.7665374279022217,0.9638778567314148,6.647632598876953,7.545607566833496,6.600005149841309,6.406586170196533,5.779752731323242,0.13805681467056274
Angelique,S02,Dig,20F/S,Par,sequence_1,S02|Dig|20F/S|Par,1.3562026023864746,1.3562026023864746,8.334765434265137,1.136631965637207,3.6334736347198486,0.6908234357833862,6.688671112060547,7.372392654418945,6.47882080078125,6.497255802154541,5.609790802001953,0.5437667965888977
Angelique,S02,NumWoGE,1F,Control,sequence_0,S02|NumWoGE|1F|Control,2.0853018760681152,2.0853018760681152,9.143845558166504,1.4585003852844238,4.688026428222656,0.9759937524795532,6.653311252593994,7.417290210723877,6.6842169761657715,6.444566249847412,5.64586067199707,0.7708711624145508
Angelique,S02,NumWoGE,1F,Control,sequence_1,S02|NumWoGE|1F|Control,0.7108535170555115,0.7108535170555115,6.9755144119262695,1.0609408617019653,4.734213352203369,1.0048645734786987,6.346629619598389,7.370220184326172,6.680855751037598,6.600447177886963,5.719290733337402,0.46883538365364075
Angelique,S02,NumWoGE,1F,Par,sequence_0,S02|NumWoGE|1F|Par,1.7149755954742432,1.7149755954742432,4.019888877868652,1.674098014831543,2.74007248878479,1.9412213563919067,6.815975189208984,7.143845081329346,7.119293212890625,6.335463047027588,6.293771743774414,1.0727908611297607
Angelique,S02,NumWoGE,1F,Par,sequence_1,S02|NumWoGE|1F|Par,0.9444146156311035,0.9444146156311035,5.153356552124023,1.5074299573898315,2.8925106525421143,0.66562420129776,6.564213752746582,7.213226318359375,7.074615478515625,6.487215042114258,5.779774188995361,0.704018771648407
Angelique,S02,NumWoGE,20F/A,Control,sequence_0,S02|NumWoGE|20F/A|Control,0.7098166942596436,0.7098166942596436,4.899425983428955,0.8057330846786499,1.5002180337905884,0.8048729300498962,6.38989782333374,7.119685649871826,6.633547306060791,6.070718288421631,5.81356143951416,0.7420175671577454
